anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,822,2025-01-30,5963.03
2025,856,2025-01-30,39278.83
2025,760,2025-01-30,4125.87
2025,1426,2025-02-27,1940.84
2025,1512,2025-02-27,34974.27
2025,1478,2025-02-27,5010.92
2025,2058,2025-03-28,4290.68
2025,1984,2025-03-28,783.65
2025,2072,2025-03-28,35914.22
2025,2526,2025-04-29,6269.2
2025,2574,2025-04-29,29864.16
2025,2465,2025-04-29,255.11
2025,2580,2025-04-29,2276.09
2025,3092,2025-05-29,46467.67
2025,3064,2025-05-29,6595.2
2025,3104,2025-05-29,989.28
2025,3556,2025-06-26,117.9
2025,3527,2025-06-26,2074.68
2025,3631,2025-06-26,44228.33
2025,4154,2025-07-30,681.5
2025,4104,2025-07-30,851.88
2025,3821,2025-07-10,22543.8
2025,4175,2025-07-30,48066.24
2025,4746,2025-08-28,42862.24
2025,4658,2025-08-28,1874.14
2025,4662,2025-08-28,6457.8
2025,5241,2025-09-29,43118.86
2025,5170,2025-09-29,243.6
2025,5977,2025-10-30,36520.85
2025,6350,2025-11-27,1676.56
2025,6443,2025-11-27,39488.69
2025,6796,2025-12-18,1202.43
2025,6822,2025-12-18,40256.95
2025,6610,2025-12-10,18145.87
2025,6762,2025-12-18,1274.52
