anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,5,2025-01-02,195000
2025,160,2025-01-30,171334.76
2025,150,2025-01-30,17799.72
2025,153,2025-01-30,910.56
2025,154,2025-01-30,636.28
2025,163,2025-01-30,3134.6
2025,151,2025-01-30,12281.53
2025,145,2025-01-30,8898.72
2025,162,2025-01-30,39206.27
2025,216,2025-02-27,1604.92
2025,220,2025-02-27,3106.61
2025,233,2025-02-27,3134.6
2025,226,2025-02-27,207037.83
2025,227,2025-02-27,25392.44
2025,169,2025-02-05,305.26
2025,274,2025-03-28,5258.23
2025,275,2025-03-28,4153.35
2025,264,2025-03-28,7089.31
2025,245,2025-03-11,2058.1
2025,272,2025-03-28,239687.47
2025,266,2025-03-28,6578.31
2025,313,2025-04-29,1567.27
2025,325,2025-04-29,265336.77
2025,326,2025-04-29,4153.35
2025,328,2025-04-29,10508.5
2025,314,2025-04-29,5685.44
2025,352,2025-05-29,4341
2025,362,2025-05-29,549.6
2025,367,2025-05-29,3819.72
2025,364,2025-05-29,283448.31
2025,366,2025-05-29,3772.13
2025,396,2025-06-26,215.98
2025,406,2025-06-26,1554.46
2025,417,2025-06-26,4038.46
2025,401,2025-06-26,667.11
2025,405,2025-06-26,16915.5
2025,411,2025-06-26,4369.32
2025,403,2025-06-26,12587.91
2025,393,2025-06-26,81.5
2025,395,2025-06-26,15527.35
2025,410,2025-06-26,293420.55
2025,497,2025-07-30,18062.54
2025,488,2025-07-30,8333.39
2025,443,2025-07-10,1997.21
2025,446,2025-07-10,141184.98
2025,496,2025-07-30,4369.32
2025,431,2025-07-07,173.12
2025,433,2025-07-07,41.72
2025,499,2025-07-30,309997.88
2025,557,2025-08-28,330618.68
2025,539,2025-08-28,13972.78
2025,552,2025-08-28,8879.23
2025,550,2025-08-28,4369.32
2025,604,2025-09-29,319498.7
2025,602,2025-09-29,13101.66
2025,564,2025-09-02,1046.65
2025,603,2025-09-29,4369.32
2025,580,2025-09-11,140000
2025,592,2025-09-29,489.24
2025,669,2025-10-30,344599.24
2025,664,2025-10-30,10247.54
2025,672,2025-10-30,980.55
2025,671,2025-10-30,4369.32
2025,738,2025-11-27,24873.27
2025,752,2025-11-27,4314.36
2025,750,2025-11-27,325601.82
2025,753,2025-11-27,9006.21
2025,731,2025-11-27,12398.36
2025,739,2025-11-27,5077
2025,811,2025-12-18,15209.17
2025,815,2025-12-18,322233.41
2025,816,2025-12-18,4330.57
2025,804,2025-12-18,27197.2
2025,805,2025-12-18,1176.23
2025,783,2025-12-10,2090.77
2025,785,2025-12-10,150967.21
2025,789,2025-12-10,5945.94
