anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,918,2023-01-30,9776.26
2023,1456,2023-02-27,10734.43
2023,2090,2023-03-30,9851.17
2023,2766,2023-04-27,10959.37
2023,3427,2023-05-31,16617.42
2023,4168,2023-06-29,11860.32
2023,4824,2023-07-27,11860.32
2023,4411,2023-07-06,5746.67
2023,5500,2023-08-30,11860.32
2023,6132,2023-09-28,11860.32
2023,6715,2023-10-27,11860.32
2023,7407,2023-11-29,11860.32
2023,7964,2023-12-22,11948.15
2023,7960,2023-12-22,3478.16
2023,7893,2023-12-21,7641.31
2023,7647,2023-12-07,5913.49
