anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,125,2026-01-02,50000
2026,144,2026-01-02,10000
2026,165,2026-01-02,500000
2026,614,2026-01-14,2500000
2026,665,2026-01-14,450000
2026,417,2026-01-02,433524.11
2026,120,2026-01-02,500000
2026,335,2026-01-02,289051.82
2026,336,2026-01-02,186999.8
2026,489,2026-01-09,162413.66
2026,420,2026-01-02,43429.3
2026,419,2026-01-02,24716.5
2026,418,2026-01-02,9434.5
2026,159,2026-01-02,150000
2026,1507,2026-02-25,86342.58
2026,1475,2026-02-24,98560
2026,1294,2026-02-09,52476.16
2026,1293,2026-02-09,83238.38
2026,1316,2026-02-10,14698.31
2026,2086,2026-03-23,1300.72
2026,1979,2026-03-16,544.75
2026,1972,2026-03-16,1562.5
2026,2498,2026-03-31,7919.87
2026,1973,2026-03-16,472500
2026,2084,2026-03-23,12250.73
2026,2526,2026-04-01,125.44
2026,2757,2026-04-09,1744.2
2026,2750,2026-04-09,7707.55
2026,2528,2026-04-01,176.4
2026,2759,2026-04-09,77.59
2026,2764,2026-04-09,5400
2026,2531,2026-04-01,2065.1
2026,2749,2026-04-09,533.62
2026,2754,2026-04-09,6113.09
2026,2758,2026-04-09,196.32
2026,2753,2026-04-09,591.47
