anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,501,2023-01-30,88428.41
2023,532,2023-01-30,1623.25
2023,952,2023-02-27,88257.99
2023,1349,2023-03-30,88257.98
2023,1723,2023-04-27,84611.4
2023,2017,2023-05-17,570.77
2023,2179,2023-05-31,2565.32
2023,2019,2023-05-17,702.97
2023,2148,2023-05-31,89893.28
2023,2018,2023-05-17,2130.12
2023,2508,2023-06-29,81346.09
2023,2672,2023-07-06,38585.53
2023,2919,2023-07-27,76728.37
2023,3352,2023-08-30,60858.16
2023,3733,2023-09-28,93367
2023,4158,2023-10-27,77237.03
2023,4638,2023-11-29,24994.55
2023,4591,2023-11-29,61825.31
2023,4783,2023-12-07,32331.11
2023,5000,2023-12-22,76731.73
2023,4790,2023-12-07,4038.89
