anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1092,2024-01-30,161828.73
2024,1087,2024-01-30,31977.68
2024,948,2024-01-30,1947.76
2024,943,2024-01-30,28636.89
2024,899,2024-01-30,34614.01
2024,1560,2024-02-28,7296.01
2024,1644,2024-02-28,190418.4
2024,1684,2024-02-28,16557.03
2024,2235,2024-03-27,5391.44
2024,2386,2024-03-27,5420.32
2024,2279,2024-03-27,30843.62
2024,2277,2024-03-27,5727.8
2024,2343,2024-03-27,205979.84
2024,3110,2024-04-29,209572.06
2024,3163,2024-04-29,4206.05
2024,3747,2024-05-29,221477.97
2024,3686,2024-05-29,3795.07
2024,3358,2024-05-09,336.43
2024,4427,2024-06-27,19169.31
2024,3981,2024-06-10,1015.15
2024,4495,2024-06-27,219406.74
2024,4498,2024-06-27,3199.48
2024,5215,2024-07-31,208231.25
2024,5254,2024-07-31,16720.93
2024,4666,2024-07-03,67449.99
2024,4684,2024-07-03,37994.23
2024,5932,2024-08-29,3761.57
2024,5477,2024-08-08,6896.22
2024,6027,2024-08-29,236696.19
2024,5512,2024-08-08,541.11
2024,6753,2024-09-27,236604.29
2024,6596,2024-09-27,5459.59
2024,6695,2024-09-27,5175.74
2024,6633,2024-09-27,31346
2024,7412,2024-10-30,243088.55
2024,7350,2024-10-30,3020.68
2024,7245,2024-10-30,6346.32
2024,8082,2024-11-28,232717.67
2024,8111,2024-11-28,4762.87
2024,7988,2024-11-28,10188.92
2024,8267,2024-12-05,538.53
2024,8684,2024-12-19,210178.68
2024,8641,2024-12-19,14659.62
2024,8274,2024-12-05,73046.61
2024,8563,2024-12-19,62715.27
2024,8249,2024-12-05,43039.32
2024,8625,2024-12-19,1895.83
