anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,27,2026-01-05,120
2026,70,2026-01-30,120
2026,42,2026-01-12,120
2026,56,2026-01-20,120
2026,29,2026-01-05,2800
2026,37,2026-01-08,120
2026,64,2026-01-30,155
2026,68,2026-01-30,120
2026,54,2026-01-20,120
2026,69,2026-01-30,120
2026,58,2026-01-22,25000
2026,40,2026-01-12,120
2026,57,2026-01-22,7260
2026,66,2026-01-30,120
2026,24,2026-01-05,120
2026,61,2026-01-26,120
2026,43,2026-01-12,155
2026,45,2026-01-14,12000
2026,41,2026-01-12,120
2026,34,2026-01-08,120
2026,25,2026-01-05,120
2026,26,2026-01-05,120
2026,39,2026-01-12,120
2026,36,2026-01-08,120
2026,53,2026-01-20,120
2026,62,2026-01-26,120
2026,38,2026-01-12,120
2026,48,2026-01-15,6750
2026,55,2026-01-20,120
2026,60,2026-01-26,120
2026,67,2026-01-30,120
2026,63,2026-01-27,4000
2026,44,2026-01-14,60
2026,28,2026-01-05,4800
2026,72,2026-01-30,120
2026,71,2026-01-30,120
2026,35,2026-01-08,120
2026,73,2026-01-30,120
2026,65,2026-01-30,155
2026,81,2026-02-04,12000
2026,99,2026-02-20,6800
2026,83,2026-02-06,120
2026,93,2026-02-10,120
2026,78,2026-02-04,15000
2026,85,2026-02-10,120
2026,105,2026-02-24,1650
2026,82,2026-02-04,3000
2026,95,2026-02-13,15500
2026,77,2026-02-04,10000
2026,80,2026-02-04,15000
2026,84,2026-02-06,2750
2026,86,2026-02-10,120
2026,108,2026-02-25,10000
2026,91,2026-02-10,240
2026,106,2026-02-25,3750
2026,104,2026-02-23,5400
2026,96,2026-02-19,6170
2026,88,2026-02-10,120
2026,94,2026-02-13,60
2026,100,2026-02-20,120
2026,79,2026-02-04,12800
2026,101,2026-02-20,464
2026,90,2026-02-10,240
2026,92,2026-02-10,240
2026,87,2026-02-10,120
2026,102,2026-02-20,464
2026,89,2026-02-10,240
2026,98,2026-02-19,22120
2026,107,2026-02-25,8000
2026,97,2026-02-19,9300
2026,103,2026-02-23,1000
2026,156,2026-03-19,155
2026,163,2026-03-23,3700
2026,166,2026-03-27,155
2026,164,2026-03-25,10000
2026,133,2026-03-12,2000
2026,124,2026-03-10,1875
2026,136,2026-03-13,3960
2026,134,2026-03-12,665
2026,150,2026-03-19,120
2026,123,2026-03-10,1875
2026,154,2026-03-19,1085
2026,120,2026-03-06,665
2026,161,2026-03-23,2500
2026,167,2026-03-27,240
2026,165,2026-03-26,120
2026,147,2026-03-17,650
2026,127,2026-03-10,155
2026,169,2026-03-30,186225.94
2026,139,2026-03-13,120
2026,126,2026-03-10,120
2026,113,2026-03-02,2160
2026,172,2026-03-30,155
2026,115,2026-03-02,774
2026,128,2026-03-10,120
2026,129,2026-03-11,8340
2026,143,2026-03-13,4000
2026,170,2026-03-30,120
2026,116,2026-03-05,6500
2026,141,2026-03-13,60
2026,162,2026-03-23,1200
2026,168,2026-03-27,240
2026,110,2026-03-02,3900
2026,114,2026-03-02,464
2026,135,2026-03-13,1960
2026,151,2026-03-19,120
2026,145,2026-03-17,13500
2026,119,2026-03-06,5800
2026,171,2026-03-30,120
2026,138,2026-03-13,808
2026,122,2026-03-09,120
2026,152,2026-03-19,120
2026,160,2026-03-20,6000
2026,112,2026-03-02,120
2026,132,2026-03-12,120
2026,111,2026-03-02,665
2026,137,2026-03-13,808
2026,142,2026-03-13,808
2026,149,2026-03-19,60
2026,140,2026-03-13,808
2026,144,2026-03-16,12520
2026,125,2026-03-10,120
2026,155,2026-03-19,464
2026,130,2026-03-11,5250
2026,131,2026-03-12,6320
2026,190,2026-04-10,3000
2026,206,2026-04-13,120
2026,210,2026-04-14,60
2026,192,2026-04-10,4435.1
2026,173,2026-04-01,13350
2026,202,2026-04-10,13065.7
2026,195,2026-04-10,30000
2026,208,2026-04-13,120
2026,201,2026-04-10,10000
2026,189,2026-04-10,2700
2026,194,2026-04-10,30000
2026,175,2026-04-02,60
2026,203,2026-04-10,1286.79
2026,196,2026-04-10,1088.92
2026,181,2026-04-02,464
2026,184,2026-04-06,808
2026,207,2026-04-13,464
2026,186,2026-04-06,120
2026,182,2026-04-06,120
2026,212,2026-04-14,1685
2026,193,2026-04-10,1435
2026,177,2026-04-02,2950
2026,187,2026-04-06,120
2026,200,2026-04-10,1500
2026,191,2026-04-10,4800
2026,198,2026-04-10,1621
2026,204,2026-04-13,120
2026,197,2026-04-10,2000
2026,174,2026-04-01,7000
2026,188,2026-04-08,240
2026,185,2026-04-06,120
2026,183,2026-04-06,120
2026,199,2026-04-10,20000
2026,205,2026-04-13,808
2026,176,2026-04-02,1405
