anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,745,2024-01-22,79.79
2024,698,2024-01-18,79.79
2024,747,2024-01-22,170.97
2024,193,2024-01-02,791.73
2024,697,2024-01-18,79.79
2024,469,2024-01-04,1800
2024,126,2024-01-02,42000
2024,2046,2024-03-14,130
2024,2513,2024-04-03,1400000
2024,2920,2024-04-24,79.79
2024,3372,2024-05-10,79.79
2024,3233,2024-05-03,79.79
2024,3371,2024-05-10,79.79
2024,3382,2024-05-10,622.23
2024,3373,2024-05-10,800
2024,3616,2024-05-28,79.79
2024,4232,2024-06-21,1196.79
2024,4012,2024-06-12,39000
2024,4279,2024-06-24,854.85
2024,4160,2024-06-18,1900
2024,4246,2024-06-21,200
2024,7108,2024-10-22,197.18
2024,7203,2024-10-29,79.79
2024,7104,2024-10-22,312.37
2024,6920,2024-10-09,79.79
2024,6919,2024-10-09,79.79
2024,7204,2024-10-29,170.97
2024,8172,2024-11-29,170.97
2024,7517,2024-11-05,79.79
2024,8164,2024-11-29,8000
2024,8173,2024-11-29,79.79
2024,8544,2024-12-19,35665
