anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,305,2023-01-03,13983
2023,824,2023-01-27,21960
2023,235,2023-01-02,150
2023,262,2023-01-02,5619
2023,98,2023-01-02,10250
2023,243,2023-01-02,62289.98
2023,460,2023-01-10,206730
2023,236,2023-01-02,39843.75
2023,261,2023-01-02,50465.11
2023,276,2023-01-03,13982
2023,815,2023-01-26,17294
2023,1937,2023-03-21,83892
2023,1911,2023-03-20,7000
2023,1927,2023-03-20,12000
2023,1935,2023-03-21,2000
2023,2417,2023-04-13,404.24
2023,2418,2023-04-13,231.4
2023,3408,2023-05-30,156000
2023,3080,2023-05-12,199218.75
2023,3409,2023-05-30,147000
2023,3185,2023-05-19,8845
2023,3081,2023-05-12,17397.48
2023,4832,2023-07-27,44000
2023,5624,2023-08-31,10865
2023,6289,2023-10-03,18714.24
