anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,778,2025-01-21,150000
2025,776,2025-01-21,1200000
2025,809,2025-01-23,79.79
2025,831,2025-01-27,103.03
2025,911,2025-01-30,5000
2025,176,2025-01-02,260000
2025,158,2025-01-02,1500000
2025,777,2025-01-21,1200000
2025,157,2025-01-02,9000000
2025,910,2025-01-30,106800
2025,177,2025-01-02,15000
2025,914,2025-01-30,200000
2025,43,2025-01-02,1000
2025,163,2025-01-02,500000
2025,309,2025-01-02,26687.83
2025,433,2025-01-02,227700
2025,171,2025-01-02,1800000
2025,172,2025-01-02,300000
2025,237,2025-01-02,51939
2025,236,2025-01-02,552500
2025,1346,2025-02-13,3618.52
2025,1328,2025-02-13,6772.97
2025,1196,2025-02-05,1207.33
2025,1265,2025-02-10,71500
2025,1344,2025-02-13,6720.1
2025,1329,2025-02-13,1204.45
2025,2143,2025-03-14,72122.15
2025,2277,2025-03-25,107415
2025,2326,2025-03-28,13407.38
2025,2852,2025-04-17,961.72
2025,2803,2025-04-16,2050
2025,2837,2025-04-16,1607.48
2025,2802,2025-04-16,9343
2025,2830,2025-04-16,759.85
2025,3187,2025-04-30,242.82
2025,2829,2025-04-16,4211.94
2025,3250,2025-05-05,212.86
2025,3497,2025-05-21,356120
2025,3260,2025-05-05,430.5
2025,3289,2025-05-07,13786.6
2025,3259,2025-05-05,54.68
2025,5101,2025-07-25,1543.36
2025,4991,2025-07-18,120000
2025,4852,2025-07-10,92.32
2025,5100,2025-07-25,4475.06
2025,4851,2025-07-10,961.4
2025,5707,2025-08-25,522224.83
2025,5667,2025-08-22,13786.6
2025,5574,2025-08-19,1668.2
2025,5762,2025-08-27,1089961
2025,5733,2025-08-26,2378.38
2025,5629,2025-08-21,1490.58
2025,5754,2025-08-26,1818.8
2025,5658,2025-08-21,6719.01
2025,5753,2025-08-26,11533
2025,5429,2025-08-06,16.04
2025,5628,2025-08-21,2020.87
2025,5465,2025-08-11,5143.81
2025,5734,2025-08-26,906.1
2025,5659,2025-08-21,4545
2025,6934,2025-10-21,1000
2025,6898,2025-10-16,173.44
2025,7444,2025-11-13,215.16
2025,7526,2025-11-24,2731.19
2025,7347,2025-11-07,1889.28
2025,7861,2025-12-08,1974.45
2025,7841,2025-12-05,101.94
2025,8112,2025-12-18,759000
2025,7860,2025-12-08,19523.06
2025,8289,2025-12-26,4778333.66
