anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,150,2026-01-02,300000
2026,196,2026-01-02,29963.56
2026,173,2026-01-02,1500000
2026,51,2026-01-02,5000
2026,149,2026-01-02,1800000
2026,172,2026-01-02,9000000
2026,136,2026-01-02,500000
2026,140,2026-01-02,260000
2026,309,2026-01-02,132000
2026,506,2026-01-13,1200000
2026,229,2026-01-02,200000
2026,320,2026-01-02,3000
2026,1130,2026-01-29,587600.22
2026,507,2026-01-13,150000
2026,319,2026-01-02,65161.3
2026,853,2026-01-26,298633.54
2026,141,2026-01-02,15000
2026,505,2026-01-13,1200000
2026,523,2026-01-13,0.37
2026,1424,2026-02-20,2922
2026,1453,2026-02-23,512.72
2026,1271,2026-02-05,6732.89
2026,1223,2026-02-04,5530.02
2026,1425,2026-02-20,4907.7
2026,1224,2026-02-04,3097.85
2026,1274,2026-02-05,19122
2026,1275,2026-02-05,22343
2026,1486,2026-02-24,564347
2026,1272,2026-02-05,8102.64
2026,1770,2026-03-03,3185.5
2026,1925,2026-03-12,199207.06
2026,1893,2026-03-10,1254.37
2026,2142,2026-03-26,907.9
2026,1888,2026-03-10,940.79
2026,2153,2026-03-26,223889.5
2026,1926,2026-03-12,3313.32
2026,1889,2026-03-10,69.37
2026,2616,2026-04-06,83918.04
2026,2597,2026-04-02,980
