anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,762,2025-01-30,7113.02
2025,837,2025-01-30,97806.98
2025,815,2025-01-30,31067.44
2025,1514,2025-02-27,99743.58
2025,1430,2025-02-27,1180.46
2025,1479,2025-02-27,7424.75
2025,1452,2025-02-27,10765.86
2025,2052,2025-03-28,8952.29
2025,2074,2025-03-28,102034.41
2025,2576,2025-04-29,53164.49
2025,2488,2025-04-29,1008.3
2025,2494,2025-04-29,8430.08
2025,2527,2025-04-29,74120.47
2025,3118,2025-05-29,60206.66
2025,3057,2025-05-29,69265.98
2025,3593,2025-06-26,296.66
2025,3551,2025-06-26,6381.06
2025,3570,2025-06-26,5613.74
2025,3630,2025-06-26,130730.01
2025,3824,2025-07-10,63994.19
2025,4115,2025-07-30,2104.65
2025,4191,2025-07-30,105355.64
2025,4158,2025-07-30,15555.8
2025,4644,2025-08-28,1897.43
2025,4726,2025-08-28,120014.28
2025,4706,2025-08-28,3904.86
2025,5198,2025-09-29,3794.85
2025,5243,2025-09-29,122634.77
2025,5946,2025-10-30,3645.57
2025,5829,2025-10-30,31907.39
2025,5984,2025-10-30,115397.11
2025,5820,2025-10-30,19582.28
2025,5772,2025-10-30,890.11
2025,6407,2025-11-27,2440.14
2025,6360,2025-11-27,1138.19
2025,6445,2025-11-27,98286.63
2025,6767,2025-12-18,18311.37
2025,6619,2025-12-10,50275.89
2025,6826,2025-12-18,93762.13
2025,6787,2025-12-18,6248.79
