anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,20,2024-01-02,3360000
2024,14,2024-01-02,300000
2024,578,2024-01-05,8358.94
2024,26,2024-01-02,4875000
2024,662,2024-01-15,1625000
2024,580,2024-01-05,82134.83
2024,10,2024-01-02,558010.68
2024,6,2024-01-02,861114.84
2024,22,2024-01-02,100000
2024,923,2024-01-30,91735.4
2024,5,2024-01-02,2000000
2024,8,2024-01-02,13227.24
2024,2,2024-01-02,20400
2024,12,2024-01-02,1323304.2
2024,1215,2024-02-08,1218750
2024,1250,2024-02-12,8358.84
2024,1543,2024-02-28,91735.4
2024,1252,2024-02-12,82318.87
2024,2298,2024-03-27,91735.4
2024,1993,2024-03-13,82454.3
2024,1899,2024-03-07,200000
2024,1991,2024-03-13,8358.84
2024,2982,2024-04-29,91735.4
2024,2534,2024-04-04,4468750
2024,2686,2024-04-15,8358.84
2024,2688,2024-04-15,82608
2024,3317,2024-05-08,82893.13
2024,3664,2024-05-29,91735.4
2024,3318,2024-05-08,8358.84
2024,4462,2024-06-27,91735.4
2024,4111,2024-06-17,8358.84
2024,4113,2024-06-17,83025.65
2024,3918,2024-06-06,8333333.28
2024,5124,2024-07-30,91735.4
2024,4910,2024-07-17,663955.62
2024,4880,2024-07-15,8358.84
2024,4882,2024-07-15,83171.36
2024,4732,2024-07-05,402283.63
2024,5634,2024-08-15,8358.84
2024,5683,2024-08-19,3790295.42
2024,5961,2024-08-29,91735.4
2024,5633,2024-08-15,83350.23
2024,6408,2024-09-17,83535.77
2024,6406,2024-09-17,8358.44
2024,6638,2024-09-27,91735.4
2024,7264,2024-10-30,2000
2024,6939,2024-10-11,60000
2024,6970,2024-10-15,8358.44
2024,7262,2024-10-30,91735.4
2024,6969,2024-10-15,87773.88
2024,7878,2024-11-25,265220
2024,7631,2024-11-12,120000
2024,7652,2024-11-12,20000
2024,7698,2024-11-14,8358.84
2024,7873,2024-11-25,779616.76
2024,7801,2024-11-19,28491.96
2024,7800,2024-11-19,404760.71
2024,7875,2024-11-25,34607.62
2024,7700,2024-11-14,83720.98
2024,7876,2024-11-25,2048725.7
2024,7877,2024-11-25,1300000
2024,7957,2024-11-27,91735.4
2024,8136,2024-11-28,1470.84
2024,7874,2024-11-25,2083333.32
2024,8452,2024-12-16,83906.5
2024,8810,2024-12-30,265220
2024,8453,2024-12-16,8358.84
2024,8545,2024-12-19,91735.4
2024,8756,2024-12-19,57469.09
2024,8809,2024-12-30,2225075.42
2024,8811,2024-12-30,1300000
