anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,65,2025-01-03,9519.84
2025,99,2025-01-09,3921.48
2025,123,2025-01-13,100000
2025,70,2025-01-03,26681.34
2025,146,2025-01-30,388.69
2025,118,2025-01-13,70000
2025,161,2025-01-30,321.42
2025,62,2025-01-03,1256.55
2025,119,2025-01-13,70000
2025,152,2025-01-30,96.43
2025,122,2025-01-13,70000
2025,114,2025-01-13,70000
2025,61,2025-01-03,135.2
2025,116,2025-01-13,10000
2025,141,2025-01-28,64909.45
2025,12,2025-01-02,100000
2025,13,2025-01-02,150000
2025,115,2025-01-13,10000
2025,74,2025-01-03,3237.6
2025,117,2025-01-13,200000
2025,67,2025-01-03,43.31
2025,60,2025-01-03,30000
2025,59,2025-01-03,30000
2025,140,2025-01-28,60000
2025,76,2025-01-03,43.31
2025,113,2025-01-09,267.87
2025,66,2025-01-03,161400
2025,155,2025-01-30,16392.2
2025,142,2025-01-28,70000
2025,143,2025-01-29,32347.56
2025,137,2025-01-23,889.2
2025,3,2025-01-02,3000
2025,121,2025-01-13,70000
2025,71,2025-01-03,33592.41
2025,75,2025-01-03,23023.05
2025,63,2025-01-03,17850
2025,10,2025-01-02,1560
2025,68,2025-01-03,42924
2025,124,2025-01-13,40000
2025,120,2025-01-13,200000
2025,125,2025-01-13,16010.2
2025,11,2025-01-02,100000
2025,139,2025-01-23,79.79
2025,64,2025-01-03,27677
2025,138,2025-01-23,1408.64
2025,56,2025-01-03,15000
2025,69,2025-01-03,188500
2025,184,2025-02-11,79.79
2025,232,2025-02-27,321.42
2025,183,2025-02-10,25000
2025,205,2025-02-24,28000
2025,189,2025-02-13,79.79
2025,229,2025-02-27,17957.53
2025,234,2025-02-27,202020
2025,221,2025-02-27,264.02
2025,203,2025-02-19,39.9
2025,173,2025-02-06,77000
2025,180,2025-02-10,25000
2025,195,2025-02-17,1520.34
2025,187,2025-02-12,341.94
2025,188,2025-02-12,79.79
2025,174,2025-02-06,2500
2025,194,2025-02-17,6273.1
2025,202,2025-02-19,39.9
2025,204,2025-02-20,25131.08
2025,170,2025-02-06,70000
2025,179,2025-02-10,156.19
2025,175,2025-02-06,282.73
2025,177,2025-02-07,16562.48
2025,193,2025-02-17,198.04
2025,206,2025-02-24,7000
2025,185,2025-02-11,170.97
2025,191,2025-02-17,1446.25
2025,182,2025-02-10,5000
2025,212,2025-02-26,79.79
2025,192,2025-02-17,1152.64
2025,196,2025-02-18,400
2025,181,2025-02-10,22000
2025,190,2025-02-17,14287.56
2025,209,2025-02-26,727.05
2025,276,2025-03-28,19621.08
2025,253,2025-03-20,225.5
2025,279,2025-03-28,39.9
2025,258,2025-03-21,79.79
2025,254,2025-03-20,7729.05
2025,273,2025-03-28,321.42
2025,250,2025-03-14,1250
2025,256,2025-03-20,12000
2025,239,2025-03-05,190.36
2025,238,2025-03-03,281
2025,260,2025-03-24,60587.8
2025,236,2025-03-03,334.87
2025,282,2025-03-28,3361.8
2025,283,2025-03-31,170.97
2025,262,2025-03-24,6885.5
2025,252,2025-03-19,3686
2025,281,2025-03-28,10744.02
2025,237,2025-03-03,328.38
2025,257,2025-03-21,170.97
2025,251,2025-03-19,1005.52
2025,249,2025-03-14,1000
2025,280,2025-03-28,39.9
2025,265,2025-03-28,299.99
2025,255,2025-03-20,12000
2025,241,2025-03-05,13690.5
2025,243,2025-03-05,15000
2025,240,2025-03-05,624.5
2025,242,2025-03-05,15000
2025,294,2025-04-15,100000
2025,310,2025-04-28,2850
2025,298,2025-04-15,175000
2025,307,2025-04-25,1603.29
2025,290,2025-04-10,215
2025,302,2025-04-17,59922
2025,293,2025-04-15,100000
2025,304,2025-04-25,329.78
2025,285,2025-04-07,30000
2025,297,2025-04-15,175000
2025,316,2025-04-29,40000
2025,288,2025-04-10,42315
2025,295,2025-04-15,100000
2025,301,2025-04-17,198.3
2025,299,2025-04-15,175000
2025,305,2025-04-25,490.4
2025,287,2025-04-09,79.79
2025,324,2025-04-29,321.42
2025,308,2025-04-25,1094.9
2025,318,2025-04-29,21657.38
2025,306,2025-04-25,385
2025,309,2025-04-28,8630
2025,300,2025-04-15,6331
2025,292,2025-04-15,44250
2025,349,2025-05-29,531
2025,329,2025-05-02,9182.8
2025,331,2025-05-05,1968.37
2025,346,2025-05-21,312.37
2025,339,2025-05-08,104.12
2025,365,2025-05-29,338.13
2025,348,2025-05-29,3596.86
2025,342,2025-05-12,298.74
2025,335,2025-05-06,2480
2025,338,2025-05-08,234.78
2025,341,2025-05-09,1870
2025,369,2025-05-29,79.79
2025,347,2025-05-22,13281
2025,337,2025-05-08,1950
2025,336,2025-05-06,4636.04
2025,343,2025-05-14,63251
2025,358,2025-05-29,23462.97
2025,330,2025-05-05,5493.41
2025,334,2025-05-06,409.69
2025,370,2025-06-02,5000
2025,382,2025-06-13,544.61
2025,380,2025-06-13,474.06
2025,379,2025-06-13,4114.32
2025,381,2025-06-13,1180.86
2025,413,2025-06-26,24556.05
2025,404,2025-06-26,78.89
2025,386,2025-06-16,79.79
2025,375,2025-06-12,130000
2025,400,2025-06-26,16.71
2025,378,2025-06-13,6059.4
2025,416,2025-06-26,338.13
2025,391,2025-06-26,1126.04
2025,388,2025-06-18,837.06
2025,372,2025-06-03,50000
2025,389,2025-06-23,31500
2025,371,2025-06-03,50000
2025,419,2025-06-27,670
2025,467,2025-07-22,982.64
2025,436,2025-07-10,1482.35
2025,478,2025-07-25,6864.65
2025,438,2025-07-10,2180.16
2025,472,2025-07-22,102.6
2025,495,2025-07-30,338.13
2025,479,2025-07-25,30000
2025,435,2025-07-09,32232.27
2025,426,2025-07-02,535.71
2025,477,2025-07-25,800
2025,481,2025-07-29,4900
2025,432,2025-07-07,11.27
2025,484,2025-07-29,14045.98
2025,476,2025-07-25,5002.4
2025,440,2025-07-10,63251
2025,428,2025-07-04,759.6
2025,447,2025-07-10,102.58
2025,471,2025-07-22,258
2025,480,2025-07-29,336
2025,468,2025-07-22,1035
2025,485,2025-07-29,23284
2025,441,2025-07-10,2460.45
2025,483,2025-07-29,7540
2025,430,2025-07-04,2707.21
2025,427,2025-07-04,7540
2025,439,2025-07-10,1540.5
2025,489,2025-07-30,26579.41
2025,470,2025-07-22,203.9
2025,482,2025-07-29,3159.3
2025,429,2025-07-04,6183.96
2025,442,2025-07-10,1879.22
2025,437,2025-07-10,920.89
2025,469,2025-07-22,580
2025,434,2025-07-07,79.79
2025,546,2025-08-28,338.13
2025,508,2025-08-08,1300
2025,504,2025-08-05,104.13
2025,523,2025-08-21,284.5
2025,531,2025-08-26,335.4
2025,534,2025-08-26,317.03
2025,507,2025-08-08,500
2025,527,2025-08-21,2278.23
2025,505,2025-08-05,104.13
2025,536,2025-08-26,5465
2025,526,2025-08-21,332.61
2025,522,2025-08-21,165.55
2025,555,2025-08-28,27855.27
2025,532,2025-08-26,7540
2025,528,2025-08-21,4114.32
2025,549,2025-08-28,1035.14
2025,517,2025-08-12,1849.7
2025,533,2025-08-26,25
2025,525,2025-08-21,63251
2025,535,2025-08-26,6888.98
2025,530,2025-08-26,3367.29
2025,524,2025-08-21,735.6
2025,605,2025-09-29,28057.03
2025,573,2025-09-09,42979.08
2025,584,2025-09-16,22000
2025,568,2025-09-03,3979.98
2025,586,2025-09-19,79.79
2025,581,2025-09-11,39.9
2025,577,2025-09-11,257.28
2025,574,2025-09-10,2303.4
2025,575,2025-09-11,4136.94
2025,576,2025-09-11,895.3
2025,562,2025-09-02,170.97
2025,608,2025-09-29,120
2025,585,2025-09-16,41251
2025,569,2025-09-04,1465.3
2025,566,2025-09-02,547.2
2025,601,2025-09-29,338.13
2025,587,2025-09-23,68600
2025,567,2025-09-03,1356
2025,570,2025-09-04,662.59
2025,589,2025-09-23,1000
2025,582,2025-09-12,79.79
2025,611,2025-10-03,83.97
2025,620,2025-10-06,516
2025,635,2025-10-10,844.66
2025,674,2025-10-30,28051.73
2025,651,2025-10-23,869.31
2025,615,2025-10-06,120
2025,636,2025-10-10,2443
2025,630,2025-10-10,2263.06
2025,628,2025-10-10,4675.94
2025,634,2025-10-10,7381.05
2025,677,2025-10-31,1032
2025,618,2025-10-06,171
2025,639,2025-10-15,55000
2025,678,2025-10-31,774
2025,647,2025-10-21,258
2025,641,2025-10-15,10000
2025,619,2025-10-06,560
2025,652,2025-10-23,869.31
2025,638,2025-10-15,1597.79
2025,679,2025-10-31,120
2025,632,2025-10-10,734.3
2025,609,2025-10-01,7540
2025,644,2025-10-17,5140.6
2025,623,2025-10-10,2576.25
2025,612,2025-10-03,1000
2025,610,2025-10-01,155
2025,617,2025-10-06,121
2025,613,2025-10-03,149.37
2025,629,2025-10-10,780.19
2025,622,2025-10-08,133.05
2025,649,2025-10-22,5235
2025,643,2025-10-17,22678.39
2025,626,2025-10-10,270.32
2025,653,2025-10-27,795.69
2025,625,2025-10-10,4532.64
2025,670,2025-10-30,315.59
2025,631,2025-10-10,2292
2025,624,2025-10-10,856.18
2025,621,2025-10-08,234.78
2025,640,2025-10-15,8251
2025,627,2025-10-10,9755.89
2025,633,2025-10-10,33568
2025,760,2025-11-28,45.72
2025,742,2025-11-27,63251
2025,719,2025-11-18,24800
2025,695,2025-11-03,585
2025,743,2025-11-27,27343.41
2025,707,2025-11-06,350
2025,759,2025-11-28,45.72
2025,758,2025-11-28,4300
2025,714,2025-11-12,7540
2025,740,2025-11-27,906.24
2025,751,2025-11-27,338.13
2025,733,2025-11-27,10000
2025,687,2025-11-03,895
2025,755,2025-11-28,740.3
2025,757,2025-11-28,246.6
2025,741,2025-11-27,63251
2025,688,2025-11-03,120
2025,709,2025-11-10,916.97
2025,721,2025-11-21,104.13
2025,723,2025-11-21,3000
2025,708,2025-11-07,11.78
2025,686,2025-11-03,895
2025,734,2025-11-27,10000
2025,718,2025-11-18,24167
2025,706,2025-11-06,2093.46
2025,720,2025-11-19,63251
2025,729,2025-11-26,20000
2025,728,2025-11-26,20000
2025,756,2025-11-27,7381.05
2025,780,2025-12-05,120
2025,766,2025-12-03,20000
2025,769,2025-12-03,40000
2025,822,2025-12-19,10000
2025,762,2025-12-03,7540
2025,821,2025-12-18,45.72
2025,781,2025-12-10,620
2025,782,2025-12-10,310
2025,812,2025-12-18,27234.45
2025,820,2025-12-18,45.72
2025,763,2025-12-03,63251
2025,765,2025-12-03,20000
2025,779,2025-12-05,120
2025,768,2025-12-03,40000
2025,764,2025-12-03,10000
2025,767,2025-12-03,20000
2025,798,2025-12-16,508
2025,825,2025-12-26,63251
2025,774,2025-12-03,20000
2025,775,2025-12-03,20000
2025,770,2025-12-03,20000
2025,773,2025-12-03,10000
2025,761,2025-12-03,3166
2025,772,2025-12-03,40000
2025,771,2025-12-03,40000
2025,777,2025-12-05,1449
2025,797,2025-12-16,508
2025,788,2025-12-10,915
2025,787,2025-12-10,3813.53
2025,810,2025-12-18,338.13
2025,778,2025-12-05,2695
