anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,707,2024-01-18,2659.69
2024,702,2024-01-18,533.36
2024,952,2024-01-30,10000
2024,396,2024-01-03,173760
2024,501,2024-01-04,96928.65
2024,969,2024-01-30,500
2024,132,2024-01-02,800000
2024,863,2024-01-29,2198.22
2024,1014,2024-01-30,2141.94
2024,1050,2024-01-30,2779.38
2024,568,2024-01-04,376206.88
2024,72,2024-01-02,40000
2024,134,2024-01-02,80000
2024,74,2024-01-02,86594.4
2024,703,2024-01-18,369.88
2024,308,2024-01-03,264576
2024,317,2024-01-03,50000
2024,133,2024-01-02,120000
2024,367,2024-01-03,50000
2024,1298,2024-02-14,205.16
2024,1329,2024-02-15,79.79
2024,1307,2024-02-14,3077.46
2024,1276,2024-02-12,6538.29
2024,1328,2024-02-15,79.79
2024,1139,2024-02-05,102987.3
2024,1656,2024-02-28,2141.94
2024,1302,2024-02-14,205.16
2024,1305,2024-02-14,3077.46
2024,1730,2024-02-29,325000
2024,1166,2024-02-06,6135
2024,1301,2024-02-14,3077.46
2024,1304,2024-02-14,205.16
2024,1618,2024-02-28,2738.07
2024,1300,2024-02-14,205.16
2024,1303,2024-02-14,3077.46
2024,1309,2024-02-14,7693.74
2024,1308,2024-02-14,410.34
2024,1515,2024-02-28,18078.21
2024,1299,2024-02-14,3077.46
2024,1306,2024-02-14,205.16
2024,1257,2024-02-12,575.31
2024,1516,2024-02-28,15877.9
2024,1210,2024-02-07,102898.65
2024,1727,2024-02-28,16900
2024,1140,2024-02-05,69042.57
2024,1263,2024-02-12,2525.62
2024,1258,2024-02-12,290.17
2024,1764,2024-03-01,79.79
2024,2179,2024-03-25,499
2024,1869,2024-03-06,79.79
2024,2406,2024-03-27,2141.94
2024,1927,2024-03-08,307.75
2024,1970,2024-03-12,418435.33
2024,1791,2024-03-01,2200000
2024,1925,2024-03-08,2040.8
2024,1792,2024-03-01,400000
2024,1793,2024-03-01,35000
2024,1929,2024-03-08,2600
2024,1901,2024-03-07,5500
2024,1987,2024-03-13,79.79
2024,2424,2024-03-27,2779.38
2024,1988,2024-03-13,79.79
2024,2115,2024-03-20,3000
2024,2008,2024-03-13,11016.8
2024,2632,2024-04-11,15491.61
2024,2637,2024-04-11,79.79
2024,2873,2024-04-23,79.79
2024,2874,2024-04-23,79.79
2024,2569,2024-04-08,79.79
2024,2846,2024-04-22,79.79
2024,2974,2024-04-26,1597.96
2024,2566,2024-04-08,119.69
2024,2721,2024-04-15,2986.66
2024,3193,2024-04-29,2873.8
2024,2589,2024-04-09,79.79
2024,2843,2024-04-22,79.79
2024,2793,2024-04-19,79.79
2024,2722,2024-04-15,1321.6
2024,2790,2024-04-19,79.79
2024,2875,2024-04-23,200
2024,2845,2024-04-22,85.49
2024,2852,2024-04-22,4200.84
2024,2792,2024-04-19,79.79
2024,2791,2024-04-19,79.79
2024,3013,2024-04-29,542.47
2024,2693,2024-04-15,170.97
2024,2853,2024-04-22,812
2024,2443,2024-04-01,763.67
2024,2794,2024-04-19,79.79
2024,2975,2024-04-26,522.18
2024,2588,2024-04-09,200
2024,3014,2024-04-29,187.02
2024,2567,2024-04-08,119.69
2024,3172,2024-04-29,2193.96
2024,2536,2024-04-05,79.79
2024,2692,2024-04-15,79.79
2024,2844,2024-04-22,79.79
2024,2568,2024-04-08,79.79
2024,2872,2024-04-23,39.9
2024,2638,2024-04-11,79.79
2024,2624,2024-04-11,79.79
2024,3440,2024-05-15,29632.35
2024,3813,2024-05-29,2233.13
2024,3829,2024-05-31,39.9
2024,3237,2024-05-03,227.96
2024,3441,2024-05-15,23473.21
2024,3363,2024-05-09,1694.01
2024,3490,2024-05-20,79.79
2024,3280,2024-05-06,79.79
2024,3370,2024-05-10,1400
2024,3536,2024-05-22,79.79
2024,3831,2024-05-31,39.9
2024,3235,2024-05-03,79.79
2024,3832,2024-05-31,39.9
2024,3830,2024-05-31,39.9
2024,3546,2024-05-23,1057.28
2024,3545,2024-05-23,1440.51
2024,3448,2024-05-15,79.79
2024,3236,2024-05-03,227.96
2024,3234,2024-05-03,79.79
2024,3528,2024-05-22,79.79
2024,3449,2024-05-15,170.97
2024,3798,2024-05-29,1685.8
2024,4167,2024-06-19,1983.76
2024,3870,2024-06-04,79.79
2024,4193,2024-06-19,79.79
2024,4133,2024-06-17,79.79
2024,4359,2024-06-27,1800000
2024,4128,2024-06-17,763.67
2024,4102,2024-06-14,5846.4
2024,4125,2024-06-17,763.67
2024,4191,2024-06-19,79.79
2024,4158,2024-06-18,205.17
2024,3869,2024-06-04,79.79
2024,4305,2024-06-25,79.79
2024,4135,2024-06-17,79.79
2024,4124,2024-06-17,763.67
2024,4136,2024-06-17,79.79
2024,4156,2024-06-18,79.79
2024,4129,2024-06-17,2300
2024,4153,2024-06-18,79.79
2024,4199,2024-06-19,79.79
2024,4282,2024-06-24,39.9
2024,4019,2024-06-12,1531.02
2024,4196,2024-06-19,79.79
2024,4120,2024-06-17,763.67
2024,4137,2024-06-17,79.79
2024,3924,2024-06-07,535.71
2024,3914,2024-06-06,11000
2024,4205,2024-06-19,79.79
2024,4203,2024-06-19,79.79
2024,4408,2024-06-27,311.12
2024,4130,2024-06-17,763.67
2024,4197,2024-06-19,79.79
2024,4189,2024-06-19,79.79
2024,4131,2024-06-17,763.67
2024,3871,2024-06-04,79.79
2024,3922,2024-06-07,600
2024,4163,2024-06-18,102.58
2024,4204,2024-06-19,79.79
2024,4207,2024-06-19,79.79
2024,4030,2024-06-12,79.79
2024,4024,2024-06-12,714.2
2024,4123,2024-06-17,763.67
2024,4190,2024-06-19,79.79
2024,4020,2024-06-12,645.72
2024,4132,2024-06-17,170.97
2024,4361,2024-06-27,21000
2024,3923,2024-06-07,535.71
2024,4157,2024-06-18,102.58
2024,4195,2024-06-19,79.79
2024,4198,2024-06-19,79.79
2024,4208,2024-06-19,79.79
2024,4126,2024-06-17,763.67
2024,4327,2024-06-26,900
2024,4200,2024-06-19,79.79
2024,3872,2024-06-04,79.79
2024,4194,2024-06-19,79.79
2024,4206,2024-06-19,79.79
2024,4028,2024-06-12,79.79
2024,4127,2024-06-17,763.67
2024,4281,2024-06-24,39.9
2024,4166,2024-06-19,1525.68
2024,4542,2024-06-27,1592.46
2024,4122,2024-06-17,763.67
2024,4029,2024-06-12,79.79
2024,4134,2024-06-17,79.79
2024,4201,2024-06-19,79.79
2024,4360,2024-06-27,400000
2024,4192,2024-06-19,79.79
2024,4202,2024-06-19,79.79
2024,4121,2024-06-17,763.67
2024,4572,2024-06-28,79.79
2024,4531,2024-06-27,2233.13
2024,4694,2024-07-03,170.97
2024,4629,2024-07-02,79.79
2024,4633,2024-07-02,79.79
2024,4586,2024-07-01,1000
2024,4632,2024-07-02,79.79
2024,5097,2024-07-29,79.79
2024,5276,2024-07-31,1815.23
2024,5272,2024-07-31,1592.46
2024,4832,2024-07-11,79.79
2024,4776,2024-07-09,79.79
2024,5096,2024-07-29,79.79
2024,4695,2024-07-03,79.79
2024,4639,2024-07-02,79.79
2024,4990,2024-07-22,815.95
2024,4635,2024-07-02,79.79
2024,4630,2024-07-02,79.79
2024,4631,2024-07-02,79.79
2024,4779,2024-07-09,79.79
2024,4717,2024-07-04,79.79
2024,4830,2024-07-11,79.79
2024,4995,2024-07-22,434.19
2024,4718,2024-07-04,79.79
2024,4637,2024-07-02,79.79
