anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,38,2023-01-02,2204000
2023,73,2023-01-02,77000
2023,264,2023-01-02,77031.05
2023,298,2023-01-03,66791.4
2023,256,2023-01-02,14757.34
2023,1082,2023-02-02,65263.23
2023,1190,2023-02-10,160000.78
2023,1945,2023-03-22,9488.04
2023,2287,2023-04-05,32000.04
2023,2296,2023-04-05,96.62
2023,3112,2023-05-15,3000
2023,3674,2023-06-07,184874.52
2023,4369,2023-07-04,4521.22
2023,4605,2023-07-11,16940
2023,4368,2023-07-04,1728.08
2023,5281,2023-08-14,96.62
2023,5102,2023-08-04,115867.91
2023,5269,2023-08-14,890000
2023,5101,2023-08-04,137161.17
2023,5130,2023-08-08,32831.79
2023,5099,2023-08-04,72535.47
2023,5362,2023-08-18,58118.61
2023,5390,2023-08-23,13275.58
2023,5389,2023-08-23,12821.83
2023,6276,2023-09-29,20000
2023,5942,2023-09-19,16374.05
2023,6665,2023-10-25,64.81
2023,6282,2023-10-02,26967
2023,7066,2023-11-10,96.62
2023,7064,2023-11-10,2506.42
2023,7152,2023-11-17,96.62
2023,7065,2023-11-10,96.62
2023,7057,2023-11-10,230970.46
2023,7067,2023-11-10,96.62
2023,6995,2023-11-09,52515.42
2023,6994,2023-11-09,191801.4
2023,7343,2023-11-27,4748.5
2023,7372,2023-11-28,20000
