anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,90,2026-01-02,45064.14
2026,242,2026-01-02,5000000
2026,812,2026-01-21,47250
2026,459,2026-01-08,159265.31
2026,696,2026-01-14,6456743.62
2026,323,2026-01-02,113755.69
2026,243,2026-01-02,863838.47
2026,248,2026-01-02,332919.99
2026,324,2026-01-02,24901.29
2026,1376,2026-02-16,750000
2026,1733,2026-02-26,5880
2026,1483,2026-02-24,8072
2026,1599,2026-02-26,2760
2026,1474,2026-02-24,6280
2026,2178,2026-03-27,24200
2026,2083,2026-03-23,30450
2026,2167,2026-03-26,252000
2026,2553,2026-04-01,3140
2026,2552,2026-04-01,4037
