anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,710,2026-01-29,63104.67
2026,719,2026-01-29,13428.61
2026,717,2026-01-29,1786.2
2026,793,2026-01-29,4750.99
2026,791,2026-01-29,983819.95
2026,783,2026-01-29,52000
2026,814,2026-01-29,414254.93
2026,739,2026-01-29,797.56
2026,825,2026-01-29,14012.83
2026,282,2026-01-16,38850.65
2026,813,2026-01-29,835002.77
2026,800,2026-01-29,2346532.26
2026,716,2026-01-29,3157.45
2026,752,2026-01-29,111126.75
2026,753,2026-01-29,32999.45
2026,713,2026-01-29,9721.41
2026,832,2026-01-29,33421.04
2026,1585,2026-02-26,136450.62
2026,1537,2026-02-26,52000
2026,1499,2026-02-26,4480.11
2026,1578,2026-02-26,2864465.86
2026,1493,2026-02-26,74257.11
2026,1509,2026-02-26,141.33
2026,1577,2026-02-26,1247191.17
2026,1485,2026-02-26,2016.54
2026,1486,2026-02-26,65692.11
2026,1562,2026-02-26,328708.74
2026,1544,2026-02-26,18769.31
2026,1498,2026-02-26,9251.34
2026,1534,2026-02-26,35894.24
2026,1487,2026-02-26,26496.49
2026,2177,2026-03-30,849128.98
2026,2136,2026-03-30,2970781.89
2026,2189,2026-03-30,52000
2026,2112,2026-03-30,10651.24
2026,2150,2026-03-30,89906.89
2026,2116,2026-03-30,64340.36
2026,2188,2026-03-30,7793.31
2026,2123,2026-03-30,28069.11
2026,1733,2026-03-09,20135.32
2026,2114,2026-03-30,2567.87
2026,2139,2026-03-30,6049.63
2026,2110,2026-03-30,2859.67
2026,2124,2026-03-30,24234.97
2026,2185,2026-03-30,19492.67
2026,2119,2026-03-30,47249.95
2026,2165,2026-03-30,36394.24
2026,2211,2026-03-31,8685.88
2026,2149,2026-03-30,154543.16
2026,2134,2026-03-30,1297605.6
2026,1734,2026-03-09,1000
