anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1006,2024-01-30,345238.62
2024,1012,2024-01-30,58013.66
2024,896,2024-01-30,27626.48
2024,1591,2024-02-28,349425.53
2024,1653,2024-02-28,30343.08
2024,1714,2024-02-28,2.01
2024,1705,2024-02-28,15593.59
2024,1555,2024-02-28,8434.45
2024,2285,2024-03-27,64.64
2024,2238,2024-03-27,11023.43
2024,2282,2024-03-27,561.27
2024,2276,2024-03-27,189.45
2024,2377,2024-03-27,374470.06
2024,2412,2024-03-27,10817.76
2024,3175,2024-04-29,9306.27
2024,3159,2024-04-29,398039.75
2024,2990,2024-04-29,8861.38
2024,3729,2024-05-29,406284.62
2024,3682,2024-05-29,5357.66
2024,3802,2024-05-29,7532.88
2024,4522,2024-06-27,15001.45
2024,4421,2024-06-27,42286.78
2024,4484,2024-06-27,407763.9
2024,5312,2024-07-31,6234.17
2024,5273,2024-07-31,43024.83
2024,5250,2024-07-31,383980.99
2024,5305,2024-07-31,50.57
2024,4874,2024-07-15,3697.89
2024,5152,2024-07-30,17904.92
2024,4657,2024-07-03,173841.7
2024,5931,2024-08-29,21073.92
2024,5502,2024-08-08,12724.33
2024,6047,2024-08-29,427605.25
2024,6003,2024-08-29,17267.1
2024,5442,2024-08-08,2015.42
2024,6252,2024-09-09,229.88
2024,6681,2024-09-27,407808.64
2024,6729,2024-09-27,22449.92
2024,6627,2024-09-27,18793.09
2024,6591,2024-09-27,3180.31
2024,6625,2024-09-27,1042.74
2024,7346,2024-10-30,395335.58
2024,6905,2024-10-08,653.04
2024,7376,2024-10-30,8247.81
2024,7242,2024-10-30,8516.54
2024,8050,2024-11-28,5999.92
2024,7986,2024-11-28,19538.13
2024,8075,2024-11-28,413537.61
2024,8748,2024-12-19,17873.53
2024,8268,2024-12-05,236672.26
2024,8664,2024-12-19,393836.28
2024,8559,2024-12-19,63568.45
2024,8799,2024-12-30,69918.98
2024,8747,2024-12-19,249.2
2024,8673,2024-12-19,19372.92
2024,8668,2024-12-19,1105.09
