anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,750,2026-01-29,3486.13
2026,807,2026-01-29,88802.37
2026,831,2026-01-29,54420.7
2026,806,2026-01-29,13349.37
2026,743,2026-01-29,5038.39
2026,785,2026-01-29,148777.62
2026,841,2026-01-29,811.37
2026,1532,2026-02-26,68203.7
2026,1132,2026-02-10,17648.66
2026,1133,2026-02-10,846.74
2026,1491,2026-02-26,2012.77
2026,1550,2026-02-26,182829.21
2026,1533,2026-02-26,16705.4
2026,1584,2026-02-26,16860.32
2026,2161,2026-03-30,92321.54
2026,2163,2026-03-30,7340.2
2026,2121,2026-03-30,4010.74
2026,2118,2026-03-30,1250.41
2026,2191,2026-03-30,206037.31
