anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,997,2026-01-29,5770.8
2026,952,2026-01-29,16685.21
2026,921,2026-01-29,204.01
2026,298,2026-01-02,9223.19
2026,990,2026-01-29,89324.48
2026,918,2026-01-29,7692.15
2026,85,2026-01-02,7200000
2026,986,2026-01-29,701544
2026,919,2026-01-29,4751.46
2026,999,2026-01-29,6940189.97
2026,1472,2026-02-24,179842.2
2026,1576,2026-02-26,96434.39
2026,1551,2026-02-26,247612.18
2026,1571,2026-02-26,54494.6
2026,1523,2026-02-26,14240.51
2026,1550,2026-02-26,62281.49
2026,1584,2026-02-26,8127280.24
2026,2303,2026-03-30,3500.82
2026,2343,2026-03-30,9269542.3
2026,2499,2026-03-31,6936.3
2026,2274,2026-03-30,55157.5
2026,2332,2026-03-30,90148.88
2026,2272,2026-03-30,3709.8
2026,1865,2026-03-09,2550.11
2026,2330,2026-03-30,28338.55
2026,2275,2026-03-30,26305.39
2026,1866,2026-03-09,1020.04
