anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,758,2025-01-30,783.65
2025,823,2025-01-30,16089.6
2025,8,2025-01-02,4550000
2025,836,2025-01-30,77688.1
2025,811,2025-01-30,95265.31
2025,781,2025-01-30,690.39
2025,853,2025-01-30,577371.52
2025,852,2025-01-30,35273.01
2025,790,2025-01-30,11389.69
2025,347,2025-01-13,997106.5
2025,759,2025-01-30,11392.84
2025,776,2025-01-30,2675.77
2025,848,2025-01-30,3291.33
2025,778,2025-01-30,16457.95
2025,808,2025-01-30,59608.76
2025,763,2025-01-30,32399.88
2025,920,2025-02-05,626.92
2025,1482,2025-02-27,111004.13
2025,919,2025-02-05,1750.58
2025,1419,2025-02-27,6527.83
2025,1492,2025-02-27,630062.63
2025,1065,2025-02-11,18775.1
2025,1490,2025-02-27,1507.51
2025,1505,2025-02-27,3291.33
2025,1469,2025-02-27,50018.61
2025,1495,2025-02-27,40717.85
2025,1429,2025-02-27,39289.01
2025,1428,2025-02-27,10363.33
2025,1453,2025-02-27,4264.98
2025,1537,2025-02-27,23046.77
2025,1667,2025-03-11,1005.03
2025,2069,2025-03-28,756900.96
2025,2109,2025-03-31,16934.94
2025,1609,2025-03-06,48697.35
2025,1607,2025-03-06,783.65
2025,1605,2025-03-06,5036.81
2025,1683,2025-03-12,18204.11
2025,2073,2025-03-28,63131.24
2025,1610,2025-03-06,751.29
2025,2086,2025-03-28,3291.33
2025,2056,2025-03-28,107259.96
2025,1611,2025-03-06,7512.88
2025,1985,2025-03-28,18282.74
2025,2083,2025-03-28,9540.66
2025,2090,2025-03-28,8282.03
2025,1606,2025-03-06,6639.51
2025,1983,2025-03-28,1057.89
2025,1998,2025-03-28,1697.91
2025,2108,2025-03-31,498.7
2025,2050,2025-03-28,68297.5
2025,2566,2025-04-29,8123.84
2025,2469,2025-04-29,10810.36
2025,2582,2025-04-29,1295.63
2025,2571,2025-04-29,717427.45
2025,2467,2025-04-29,1670.91
