anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,492,2024-01-30,20989.08
2024,659,2024-01-30,20314.29
2024,671,2024-01-30,610660.34
2024,682,2024-01-30,19591.5
2024,496,2024-01-30,176.5
2024,491,2024-01-30,3349.74
2024,487,2024-01-30,4470.33
2024,454,2024-01-30,72979.09
2024,486,2024-01-30,8633.18
2024,650,2024-01-30,1943388.05
2024,489,2024-01-30,713.22
2024,634,2024-01-30,13606.93
2024,1066,2024-02-28,2363691.9
2024,1098,2024-02-28,2536.26
2024,1060,2024-02-28,31356.43
2024,1025,2024-02-28,38756.14
2024,1123,2024-02-28,6152.16
2024,1046,2024-02-28,180043.2
2024,1031,2024-02-28,2717.52
2024,1120,2024-02-28,111384.96
2024,1092,2024-02-28,621.7
2024,1103,2024-02-28,9795.75
2024,1514,2024-03-27,2511358.12
2024,1551,2024-03-27,9972.25
2024,1509,2024-03-27,25915.82
2024,1490,2024-03-27,40916.14
2024,1546,2024-03-27,7793.69
2024,1497,2024-03-27,73051.47
2024,1494,2024-03-27,15674.92
2024,1474,2024-03-27,334.15
2024,1484,2024-03-27,27104.15
2024,1967,2024-04-29,1732.62
2024,1988,2024-04-29,9861.94
2024,1978,2024-04-29,88.25
2024,2045,2024-04-29,37581.39
2024,1862,2024-04-22,1518.74
2024,1995,2024-04-29,358.9
2024,2033,2024-04-29,46519.94
2024,1943,2024-04-29,26399.9
2024,2027,2024-04-29,2588750.68
2024,1861,2024-04-22,2747.44
2024,1971,2024-04-29,30842
2024,2524,2024-05-29,39808.03
2024,2453,2024-05-29,36756.98
2024,2520,2024-05-29,2770187.31
2024,2476,2024-05-29,8030.75
2024,2435,2024-05-29,728.24
2024,2513,2024-05-29,37698.68
2024,2437,2024-05-29,52481.71
2024,2749,2024-06-17,507.86
2024,3004,2024-06-27,10325.25
2024,2642,2024-06-10,1853.25
2024,2964,2024-06-27,2654879.91
2024,2917,2024-06-27,88.25
2024,2750,2024-06-17,121.32
2024,2757,2024-06-17,1000
2024,2641,2024-06-10,1137.81
2024,2911,2024-06-27,2915.57
2024,2983,2024-06-27,35467.88
2024,2761,2024-06-17,2000
2024,2937,2024-06-27,129031.67
2024,2936,2024-06-27,1339.19
2024,2913,2024-06-27,16976.23
2024,3001,2024-06-27,63459.6
2024,3405,2024-07-30,471.98
2024,3506,2024-07-31,13197.43
2024,3198,2024-07-15,28217.72
2024,3523,2024-07-31,4497.84
2024,3495,2024-07-31,1099483.09
2024,3460,2024-07-31,3020.49
2024,3086,2024-07-03,17748.01
2024,3416,2024-07-30,56675.48
2024,3524,2024-07-31,45396.24
2024,3504,2024-07-31,215751.57
2024,3077,2024-07-03,1194765.46
2024,3987,2024-08-29,1030.1
2024,3958,2024-08-29,18227.49
2024,3951,2024-08-29,2588277.25
2024,3653,2024-08-08,82763.83
2024,3637,2024-08-08,9722.88
2024,3900,2024-08-29,50202.21
2024,3629,2024-08-08,99.99
2024,3972,2024-08-29,123497.88
2024,3670,2024-08-08,1076.19
2024,3931,2024-08-29,84034.14
2024,3924,2024-08-29,5608.3
2024,4145,2024-09-09,988.31
2024,4480,2024-09-27,2797583.56
2024,4469,2024-09-27,60000
2024,4420,2024-09-27,223.71
2024,4454,2024-09-27,2350.95
2024,4399,2024-09-27,37377.13
2024,4446,2024-09-27,45976.83
2024,4141,2024-09-09,667.08
2024,4412,2024-09-27,9040.82
2024,4471,2024-09-27,64471.68
2024,4391,2024-09-27,365.7
2024,4891,2024-10-30,10452.43
2024,4590,2024-10-08,313.2
2024,4917,2024-10-30,1306.08
2024,4883,2024-10-30,35820.73
2024,4878,2024-10-30,44492.45
2024,4939,2024-10-30,38393.13
2024,4911,2024-10-30,2837382.19
2024,4949,2024-10-30,60000
2024,4900,2024-10-30,69831.93
2024,5360,2024-11-28,2871055.63
2024,5354,2024-11-28,5508.36
2024,5334,2024-11-28,70377.73
2024,5288,2024-11-28,477.63
2024,5296,2024-11-28,103956.24
2024,5318,2024-11-28,60000
2024,5281,2024-11-28,5089.18
2024,5376,2024-11-28,139.49
2024,5323,2024-11-28,38134.45
2024,5372,2024-11-28,7582.75
2024,5713,2024-12-19,1429575.14
2024,5450,2024-12-05,1562626.11
2024,5718,2024-12-19,223462.93
2024,5751,2024-12-19,5523.5
2024,5837,2024-12-31,174.36
2024,5460,2024-12-05,20645.63
2024,5452,2024-12-05,914.26
2024,5464,2024-12-05,2945.29
2024,5721,2024-12-19,17167.64
2024,5685,2024-12-19,3003.11
2024,5693,2024-12-19,35339.19
2024,5841,2024-12-31,5746.76
2024,5671,2024-12-19,7597.2
2024,5760,2024-12-19,78.36
2024,5664,2024-12-19,1347474.78
2024,5652,2024-12-19,305509.77
2024,5661,2024-12-19,8536.89
