anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,905,2025-01-30,1507.49
2025,1082,2025-01-30,502.51
2025,1045,2025-01-30,21278.15
2025,1788,2025-02-27,27686.79
2025,1827,2025-02-27,527.37
2025,1673,2025-02-27,1561.85
2025,2472,2025-03-28,32131.35
2025,3081,2025-04-29,33522.34
2025,3762,2025-05-29,35769.39
2025,4349,2025-06-26,2240.34
2025,4544,2025-06-26,37672.92
2025,5222,2025-07-30,3215.16
2025,4782,2025-07-10,16340.08
2025,5261,2025-07-30,39490.33
2025,5157,2025-07-30,5983.88
2025,5183,2025-07-30,1648.8
2025,5898,2025-08-28,3718.31
2025,5862,2025-08-28,44110.4
2025,6579,2025-09-29,113.8
2025,6545,2025-09-29,49961.38
2025,7159,2025-10-30,52227.31
2025,7669,2025-11-27,51501.82
2025,7758,2025-11-27,687
2025,7587,2025-11-27,2060.95
2025,8149,2025-12-18,52296.68
2025,8075,2025-12-18,738.78
2025,7960,2025-12-10,22949.58
2025,7967,2025-12-10,2061
