anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,897,2024-01-30,9180.36
2024,1061,2024-01-30,193834.35
2024,1078,2024-01-30,34373
2024,1640,2024-02-28,26199.78
2024,1557,2024-02-28,13485.85
2024,1670,2024-02-28,210687.31
2024,2331,2024-03-27,5569.61
2024,2365,2024-03-27,256726.63
2024,2226,2024-03-27,9295.86
2024,2999,2024-04-29,11038.95
2024,3152,2024-04-29,238682.09
2024,3095,2024-04-29,11719.66
2024,3690,2024-05-29,2414.87
2024,3773,2024-05-29,250581.81
2024,3740,2024-05-29,17074.1
2024,4551,2024-06-27,246303.89
2024,3983,2024-06-10,508.22
2024,4412,2024-06-27,10738.84
2024,4437,2024-06-27,9467.31
2024,4485,2024-06-27,7440.74
2024,5234,2024-07-31,264252.8
2024,5204,2024-07-31,6415.5
2024,5157,2024-07-30,7389.78
2024,4673,2024-07-03,120497.93
2024,5131,2024-07-30,1845.78
2024,5491,2024-08-08,8792.79
2024,6021,2024-08-29,17912.14
2024,5920,2024-08-29,2426.06
2024,5470,2024-08-08,518.06
2024,6074,2024-08-29,263475.59
2024,6256,2024-09-09,2604.59
2024,6739,2024-09-27,3720.81
2024,6621,2024-09-27,27451.71
2024,6606,2024-09-27,8149.74
2024,6685,2024-09-27,266630.79
2024,7231,2024-10-30,702.01
2024,7256,2024-10-30,17483.04
2024,7386,2024-10-30,20214.69
2024,7332,2024-10-30,298072.06
2024,8103,2024-11-28,23574.81
2024,7996,2024-11-28,18066.6
2024,8056,2024-11-28,280192.93
2024,7665,2024-11-13,2879.91
2024,7982,2024-11-28,7376.76
2024,8242,2024-12-05,144133.25
2024,8278,2024-12-05,512.1
2024,8691,2024-12-19,2650.54
2024,8657,2024-12-19,9981.01
2024,8568,2024-12-19,30031.49
