anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,2456,2025-03-28,41646.82
2025,3106,2025-04-29,42000.76
2025,3659,2025-05-29,388.69
2025,3824,2025-05-29,45158.25
2025,4379,2025-06-26,2505.21
2025,4560,2025-06-26,1166.07
2025,4597,2025-06-26,43823.71
2025,4787,2025-07-10,22823.96
2025,5271,2025-07-30,44382.86
2025,5872,2025-08-28,44850.43
2025,5770,2025-08-28,1404.01
2025,6602,2025-09-29,2332.15
2025,6550,2025-09-29,42638.92
2025,7194,2025-10-30,43890.92
2025,7684,2025-11-27,44550.29
2025,7936,2025-12-10,22716.89
2025,8166,2025-12-18,43413.95
