anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1818,2025-02-27,996.73
2025,1777,2025-02-27,145558.88
2025,1684,2025-02-27,3318.95
2025,2474,2025-03-28,193399.41
2025,2340,2025-03-28,8334.81
2025,2437,2025-03-28,10721.3
2025,3101,2025-04-29,196160.77
2025,3016,2025-04-29,391.83
2025,3138,2025-04-29,3283.83
2025,3858,2025-05-29,3017.3
2025,3774,2025-05-29,269531.65
2025,3663,2025-05-29,916
2025,4330,2025-06-26,179.3
2025,4446,2025-06-26,13994.65
2025,4579,2025-06-26,6773.01
2025,4547,2025-06-26,285575.88
2025,4352,2025-06-26,12099.1
2025,4786,2025-07-10,130085.59
2025,5250,2025-07-30,8302.25
2025,5161,2025-07-30,7248.37
2025,5264,2025-07-30,282687.47
2025,5774,2025-08-28,6662.8
2025,5852,2025-08-28,5421.97
2025,5865,2025-08-28,297790.43
2025,5765,2025-08-28,1665.81
2025,5766,2025-08-28,1576.08
2025,5996,2025-09-02,2069.8
2025,6452,2025-09-29,8984.54
2025,6591,2025-09-29,291344.75
2025,6482,2025-09-29,16894.03
2025,6585,2025-09-29,2326.99
2025,6478,2025-09-29,3063.33
2025,7062,2025-10-30,6152.07
2025,7034,2025-10-30,7969.22
2025,7149,2025-10-30,14434.75
2025,7178,2025-10-30,271944.7
2025,7764,2025-11-27,18028.08
2025,7593,2025-11-27,7968.41
2025,7672,2025-11-27,279560.52
2025,7958,2025-12-10,148145.6
2025,8153,2025-12-18,287437.35
2025,8131,2025-12-18,4358.84
2025,8085,2025-12-18,53134.65
