anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,2412,2025-03-28,11441.29
2025,3166,2025-04-29,273002.51
2025,3119,2025-04-29,11441.29
2025,3837,2025-05-29,20857.32
2025,4610,2025-06-26,20857.32
2025,4388,2025-06-26,594.95
2025,4774,2025-07-10,10428.66
2025,5309,2025-07-30,21764.16
2025,5149,2025-07-30,2153.93
2025,5884,2025-08-28,3015.5
2025,5782,2025-08-28,2000.6
2025,5885,2025-08-28,25726.78
2025,6611,2025-09-29,25715.78
2025,6562,2025-09-29,4270.69
2025,7101,2025-10-30,29925.72
2025,7029,2025-10-30,1038.83
2025,7715,2025-11-27,989.28
2025,7718,2025-11-27,29084.83
2025,8211,2025-12-18,29678.4
2025,8198,2025-12-18,247.32
2025,7915,2025-12-10,14207.16
