anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,244,2025-01-08,2874.55
2025,416,2025-01-15,332.4
2025,363,2025-01-14,13739.58
2025,232,2025-01-08,10000
2025,605,2025-01-22,563.34
2025,638,2025-01-22,1000
2025,18,2025-01-02,50000
2025,25,2025-01-02,45000
2025,616,2025-01-22,7394.76
2025,415,2025-01-15,1551.5
2025,249,2025-01-08,1986.45
2025,732,2025-01-28,500
2025,743,2025-01-28,500
2025,386,2025-01-14,1811.61
2025,628,2025-01-22,1000
2025,1248,2025-02-20,1042.61
2025,1322,2025-02-24,41.79
2025,1531,2025-02-27,6668.92
2025,1416,2025-02-27,174.5
2025,1552,2025-02-28,15900.85
2025,1363,2025-02-25,719.45
2025,1290,2025-02-21,54.5
2025,1214,2025-02-20,564.04
2025,1331,2025-02-24,71
2025,1017,2025-02-06,103015.13
2025,1257,2025-02-20,1277.7
2025,1788,2025-03-17,12462.22
2025,1717,2025-03-13,883.87
2025,1618,2025-03-06,965
2025,1732,2025-03-13,112.4
2025,1624,2025-03-06,5430.09
2025,2285,2025-04-11,314.1
2025,2227,2025-04-07,500
2025,2432,2025-04-25,209.4
2025,2704,2025-05-06,325.7
2025,2689,2025-05-06,399.98
2025,3182,2025-06-04,1000
2025,4070,2025-07-29,122.15
2025,4091,2025-07-29,600
2025,4048,2025-07-28,2238.97
2025,5289,2025-09-30,970
2025,5290,2025-09-30,223.84
2025,5263,2025-09-30,720
2025,4947,2025-09-10,349
2025,5288,2025-09-30,187.3
2025,5265,2025-09-30,213.82
2025,5264,2025-09-30,169
2025,5999,2025-10-30,1296.74
2025,5658,2025-10-23,349
2025,6454,2025-11-27,648.37
2025,6290,2025-11-19,2874.55
2025,6285,2025-11-19,2125.45
2025,6280,2025-11-19,500
2025,6540,2025-12-03,2604.8
