anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,141,2024-01-05,398925.8
2024,929,2024-02-22,7389.2
2024,1398,2024-03-19,341936.4
2024,1352,2024-03-15,8312.85
2024,1747,2024-04-15,8312.85
2024,2098,2024-05-03,8312.85
2024,2460,2024-05-29,8312.85
2024,3232,2024-07-17,8312.85
2024,3322,2024-07-22,170968.2
2024,3321,2024-07-22,236132.94
2024,3590,2024-08-07,8312.85
2024,3762,2024-08-16,5000
2024,3529,2024-08-01,170968.2
2024,4241,2024-09-16,39.9
2024,4227,2024-09-13,535.71
2024,4255,2024-09-16,39.9
2024,4240,2024-09-13,39.9
2024,4067,2024-09-03,307.75
2024,4224,2024-09-13,535.71
2024,4069,2024-09-03,307.75
2024,4232,2024-09-13,39.9
2024,4068,2024-09-03,307.75
2024,4244,2024-09-16,39.9
2024,4225,2024-09-13,535.71
2024,4177,2024-09-11,7389.2
2024,4231,2024-09-13,39.9
2024,4235,2024-09-13,39.9
2024,4071,2024-09-03,307.75
2024,4226,2024-09-13,535.71
2024,4242,2024-09-16,39.9
2024,4234,2024-09-13,39.9
2024,4223,2024-09-13,535.71
2024,4254,2024-09-16,39.9
2024,4070,2024-09-03,307.75
2024,4072,2024-09-03,307.75
2024,4233,2024-09-13,39.9
2024,4243,2024-09-16,39.9
2024,4533,2024-10-03,14840
2024,4656,2024-10-14,1219.59
2024,4693,2024-10-16,7389.2
2024,4532,2024-10-03,1936.5
2024,4654,2024-10-14,1219.59
2024,4972,2024-10-31,1000
2024,4546,2024-10-03,1224.8
2024,4534,2024-10-03,1199
2024,4666,2024-10-14,1219.59
2024,4536,2024-10-03,799.7
2024,4653,2024-10-14,1219.59
2024,4655,2024-10-14,1219.59
2024,5542,2024-12-09,18486.9
2024,5528,2024-12-09,1408.35
