anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1067,2025-01-30,7143.88
2025,972,2025-01-30,60148.15
2025,965,2025-01-30,104566.7
2025,898,2025-01-30,3232.5
2025,1069,2025-01-30,84206.79
2025,1804,2025-02-27,7627.2
2025,1821,2025-02-27,99853.6
2025,2352,2025-03-28,881.6
2025,2427,2025-03-28,95214.77
2025,2366,2025-03-28,8198.94
2025,2331,2025-03-28,293.87
2025,3015,2025-04-29,1493.07
2025,3128,2025-04-29,99842.87
2025,3148,2025-04-29,707.25
2025,3658,2025-05-29,1725.83
2025,3803,2025-05-29,95666.52
2025,3844,2025-05-29,7414.92
2025,4431,2025-06-26,10602.09
2025,4523,2025-06-26,103000.68
2025,4520,2025-06-26,2253.36
2025,4405,2025-06-26,5205.06
2025,4409,2025-06-26,101.17
2025,5139,2025-07-30,561.58
2025,5319,2025-07-30,105768.22
2025,4792,2025-07-10,137375.09
2025,4785,2025-07-10,52817.23
2025,5315,2025-07-30,5756.08
2025,5894,2025-08-28,116651.16
2025,5934,2025-08-28,1684.73
2025,6571,2025-09-29,241.37
2025,6445,2025-09-29,2099.41
2025,6575,2025-09-29,120759.92
2025,7120,2025-10-30,4176.96
2025,7125,2025-10-30,112671.57
2025,7739,2025-11-27,132953.44
2025,7610,2025-11-27,10998.87
2025,8063,2025-12-18,26872.38
2025,8209,2025-12-18,136298.82
2025,7919,2025-12-10,64701.88
