anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,1,2023-01-02,350000
2023,269,2023-01-02,90579.92
2023,825,2023-01-27,9342.4
2023,173,2023-01-02,73500
2023,2,2023-01-02,1200000
2023,42,2023-01-02,826000
2023,2040,2023-03-28,3438.45
2023,2520,2023-04-17,101758.53
2023,2334,2023-04-10,96.62
2023,3140,2023-05-16,2400
2023,3309,2023-05-24,137.9
2023,3310,2023-05-24,137.9
2023,2943,2023-05-05,96.62
2023,4080,2023-06-23,357600
2023,4149,2023-06-28,96.62
2023,3572,2023-06-01,96.62
2023,5100,2023-08-04,10033.85
2023,5941,2023-09-19,101259.93
2023,6403,2023-10-09,115.18
2023,6285,2023-10-02,115.18
2023,7212,2023-11-21,98705.8
2023,7732,2023-12-12,96.62
2023,7586,2023-12-01,152138.05
2023,7712,2023-12-11,13118
2023,8086,2023-12-29,16065.2
2023,8085,2023-12-29,64882.43
