anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,941,2023-01-30,100000
2023,993,2023-01-30,210802.18
2023,1017,2023-01-30,7095.26
2023,1000,2023-01-30,9490.1
2023,1558,2023-02-27,5777.27
2023,1492,2023-02-27,292.9
2023,1517,2023-02-27,100000
2023,1543,2023-02-27,222756.45
2023,1549,2023-02-27,390.53
2023,2179,2023-03-30,211277.65
2023,2148,2023-03-30,100000
2023,2193,2023-03-30,937.27
2023,2727,2023-04-27,212954.35
2023,2680,2023-04-27,100000
2023,3504,2023-05-31,231164.35
2023,3458,2023-05-31,100000
2023,4273,2023-06-29,229619.96
2023,4241,2023-06-29,108024
2023,4289,2023-06-29,10568.23
2023,4883,2023-07-27,108024
2023,4930,2023-07-27,10704.84
2023,4425,2023-07-06,90156.04
2023,4915,2023-07-27,229445.27
2023,5567,2023-08-30,219592.57
2023,5529,2023-08-30,108024
2023,6211,2023-09-28,238193.29
2023,6176,2023-09-28,121527
2023,6786,2023-10-27,237599.79
2023,6807,2023-10-27,1254.45
2023,6738,2023-10-27,121527
2023,7425,2023-11-29,79466.31
2023,7505,2023-11-29,4228.1
2023,7467,2023-11-29,227962.62
2023,7928,2023-12-21,24515.06
2023,8033,2023-12-22,213994.76
2023,8056,2023-12-22,12731.74
2023,7984,2023-12-22,68372.01
2023,7657,2023-12-07,124643.93
