anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,1560,2023-02-27,103679.14
2023,1561,2023-02-27,88067.62
2023,1562,2023-02-27,100659.54
2023,2129,2023-03-30,3693
2023,2182,2023-03-30,92345.14
2023,2172,2023-03-30,831.71
2023,1645,2023-03-07,265.72
2023,2124,2023-03-30,93264.62
2023,2099,2023-03-30,102306.3
2023,2731,2023-04-27,99863.11
2023,2733,2023-04-27,94613.56
2023,2673,2023-04-27,87148.49
2023,2750,2023-04-27,316.33
2023,2671,2023-04-27,1405.92
2023,2744,2023-04-27,940.4
2023,3509,2023-05-31,109652.16
2023,3447,2023-05-31,92571.62
2023,3507,2023-05-31,117299.43
2023,4252,2023-06-29,919.92
2023,4277,2023-06-29,97444.94
2023,4268,2023-06-29,3178.95
2023,4189,2023-06-29,95075.18
2023,4217,2023-06-29,96534.24
2023,4222,2023-06-29,1205.17
2023,4220,2023-06-29,9827.74
2023,4439,2023-07-06,32206.79
2023,4836,2023-07-27,86298.36
2023,4336,2023-07-03,1155.45
2023,4867,2023-07-27,11994.7
2023,4911,2023-07-27,3211.96
2023,4459,2023-07-06,44493.66
2023,4454,2023-07-06,34572.11
2023,4892,2023-07-27,1857.48
2023,4862,2023-07-27,73041.39
2023,4334,2023-07-03,2475.97
2023,4865,2023-07-27,5061.88
2023,4918,2023-07-27,98866.37
2023,4910,2023-07-27,2475.97
2023,4333,2023-07-03,11994.7
