anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,279,2025-01-02,468299.6
2025,80,2025-01-02,35000
2025,87,2025-01-02,38000
2025,179,2025-01-02,310000
2025,307,2025-01-02,250000
2025,658,2025-01-14,55817.71
2025,319,2025-01-02,79560
2025,251,2025-01-02,16360.05
2025,159,2025-01-02,80000
2025,85,2025-01-02,850241.76
2025,1003,2025-01-30,7167.79
2025,174,2025-01-02,25000
2025,320,2025-01-02,10000
2025,262,2025-01-02,6090
2025,296,2025-01-02,43187.1
2025,274,2025-01-02,128446.76
2025,134,2025-01-02,330000
2025,164,2025-01-02,35000
2025,202,2025-01-02,1500000
2025,1647,2025-02-27,17500
2025,1269,2025-02-10,22224.16
2025,1739,2025-02-27,11296.79
2025,1646,2025-02-27,17500
2025,1230,2025-02-07,103808
2025,2003,2025-03-06,1327.92
2025,2070,2025-03-11,35837.4
2025,2530,2025-03-31,1123999.27
2025,1993,2025-03-06,26386
2025,2066,2025-03-11,5859.76
2025,2067,2025-03-11,1127.5
2025,1980,2025-03-06,130247.93
2025,2397,2025-03-28,8670.06
2025,2532,2025-03-31,54621
2025,2071,2025-03-11,11586.25
2025,2009,2025-03-06,1012.5
2025,1983,2025-03-06,47507.34
2025,2621,2025-04-04,125.4
2025,3056,2025-04-29,11310.54
2025,2624,2025-04-04,103.03
2025,2739,2025-04-11,25490.4
2025,3863,2025-05-29,19750
2025,3292,2025-05-07,40000
2025,3326,2025-05-08,17500
2025,3406,2025-05-14,11480
2025,3509,2025-05-21,254693.6
2025,3408,2025-05-14,2905.85
2025,3516,2025-05-21,27087.89
2025,3519,2025-05-21,25000
2025,3747,2025-05-29,9855.29
2025,3512,2025-05-21,264304.72
2025,3514,2025-05-21,55452.31
2025,3459,2025-05-16,636477.6
2025,3325,2025-05-08,17500
2025,3311,2025-05-08,155250
2025,3244,2025-05-05,50000
2025,3905,2025-06-03,371999.58
2025,4169,2025-06-23,168739.69
2025,4495,2025-06-26,11794.91
2025,4234,2025-06-25,4267.26
2025,4664,2025-07-02,500000
2025,5058,2025-07-24,2542.51
2025,4686,2025-07-04,17500
2025,5119,2025-07-29,149762
2025,4687,2025-07-04,17500
2025,5207,2025-07-30,21027.45
2025,5416,2025-08-05,152.48
2025,5422,2025-08-06,1300000
2025,5829,2025-08-28,25734.36
2025,5474,2025-08-12,9829.67
2025,5988,2025-09-02,17550
2025,6119,2025-09-08,103381.73
2025,5989,2025-09-02,17550
2025,6239,2025-09-15,3388.13
2025,6508,2025-09-29,8073.45
2025,6094,2025-09-05,115770
2025,6241,2025-09-15,7705.63
2025,6091,2025-09-05,3735
2025,6831,2025-10-14,6660.62
2025,6875,2025-10-16,901.2
2025,7237,2025-10-31,10500
2025,6805,2025-10-14,63000
2025,7230,2025-10-31,10500
2025,7235,2025-10-31,10500
2025,7249,2025-10-31,10500
2025,7207,2025-10-30,8895.76
2025,6833,2025-10-14,9197.5
2025,7001,2025-10-27,17550
2025,7000,2025-10-27,17550
2025,7245,2025-10-31,10500
2025,6827,2025-10-14,13875
2025,7243,2025-10-31,10500
2025,6825,2025-10-14,2775
2025,7241,2025-10-31,10500
2025,7205,2025-10-30,36279.29
2025,7233,2025-10-31,10500
2025,7079,2025-10-30,7901.38
2025,7239,2025-10-31,10500
2025,6823,2025-10-14,51148.75
2025,7247,2025-10-31,10500
2025,6829,2025-10-14,11250
2025,7409,2025-11-12,15000
2025,7359,2025-11-07,103.03
2025,7651,2025-11-27,6486.89
2025,7351,2025-11-07,87500
2025,8100,2025-12-18,5836.87
2025,8307,2025-12-30,823559.48
2025,8090,2025-12-18,17500
2025,7811,2025-12-02,6195.54
2025,8091,2025-12-18,17550
2025,7979,2025-12-15,2685.5
2025,7961,2025-12-10,48564.82
