anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,636,2025-01-14,43.31
2025,618,2025-01-14,43.31
2025,632,2025-01-14,43.31
2025,615,2025-01-14,43.31
2025,654,2025-01-14,43.31
2025,641,2025-01-14,43.31
2025,631,2025-01-14,43.31
2025,642,2025-01-14,43.31
2025,651,2025-01-14,43.31
2025,652,2025-01-14,43.31
2025,655,2025-01-14,43.31
2025,648,2025-01-14,43.31
2025,653,2025-01-14,43.31
2025,645,2025-01-14,43.31
2025,626,2025-01-14,43.31
2025,621,2025-01-14,43.31
2025,637,2025-01-14,43.31
2025,1011,2025-01-30,43.34
2025,668,2025-01-16,43.31
2025,613,2025-01-14,43.31
2025,646,2025-01-14,43.31
2025,625,2025-01-14,43.31
2025,617,2025-01-14,43.31
2025,620,2025-01-14,43.31
2025,630,2025-01-14,43.31
2025,638,2025-01-14,43.31
2025,634,2025-01-14,43.31
2025,656,2025-01-14,43.31
2025,633,2025-01-14,43.31
2025,627,2025-01-14,43.31
2025,640,2025-01-14,43.31
2025,628,2025-01-14,43.31
2025,616,2025-01-14,43.31
2025,649,2025-01-14,43.31
2025,644,2025-01-14,43.31
2025,635,2025-01-14,43.31
2025,624,2025-01-14,43.31
2025,622,2025-01-14,43.31
2025,643,2025-01-14,43.31
2025,917,2025-01-30,43.31
2025,612,2025-01-14,43.31
2025,619,2025-01-14,43.31
2025,650,2025-01-14,43.31
2025,639,2025-01-14,43.31
2025,629,2025-01-14,43.31
2025,647,2025-01-14,43.31
2025,572,2025-01-14,116.46
2025,614,2025-01-14,43.31
