anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1,2025-01-02,24000
2025,19,2025-01-02,558010.68
2025,28,2025-01-02,240000
2025,560,2025-01-14,79598.48
2025,5,2025-01-02,1.249999992E7
2025,25,2025-01-02,2400000
2025,3,2025-01-02,3359966.04
2025,9,2025-01-02,120000
2025,21,2025-01-02,13227.24
2025,23,2025-01-02,1323304.2
2025,561,2025-01-14,8358.84
2025,665,2025-01-16,91735.4
2025,29,2025-01-02,1450000
2025,26,2025-01-02,420000
2025,18,2025-01-02,689629.08
2025,1391,2025-02-14,89685.62
2025,1368,2025-02-14,8358.84
2025,1219,2025-02-07,3906971.77
2025,1609,2025-02-26,91735.4
2025,2379,2025-03-28,91735.4
2025,2121,2025-03-13,89343.45
2025,2135,2025-03-14,8358.84
2025,2171,2025-03-18,18816.63
2025,1960,2025-03-06,61127.13
2025,2781,2025-04-15,8358.84
2025,2783,2025-04-15,84887.08
2025,3043,2025-04-29,91735.4
2025,3421,2025-05-15,85065.56
2025,3678,2025-05-29,91735.4
2025,3419,2025-05-15,8358.84
2025,4084,2025-06-16,8358.84
2025,4500,2025-06-26,91735.4
2025,4083,2025-06-16,85329.54
2025,4924,2025-07-15,85616.39
2025,5177,2025-07-30,91735.4
2025,4922,2025-07-15,8358.84
2025,5355,2025-07-31,3699921.83
2025,5510,2025-08-13,85862.99
2025,5962,2025-08-28,91735.4
2025,5507,2025-08-13,8358.84
2025,6288,2025-09-16,590.98
2025,6236,2025-09-15,454
2025,6527,2025-09-29,636.18
2025,6276,2025-09-15,86105.44
2025,6277,2025-09-15,8358.84
2025,6521,2025-09-29,91735.4
2025,6917,2025-10-17,86443.51
2025,6661,2025-10-01,295.67
2025,7083,2025-10-30,91735.4
2025,7081,2025-10-30,296.99
2025,6916,2025-10-17,8358.84
2025,7769,2025-11-27,91735.4
2025,7400,2025-11-11,151067.94
2025,7457,2025-11-14,86678.98
2025,7455,2025-11-14,8358.84
2025,8224,2025-12-18,91735.4
2025,7994,2025-12-16,8358.84
2025,7878,2025-12-09,151067.94
2025,7996,2025-12-16,86964.42
