anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,807,2025-01-30,106951.85
2025,855,2025-01-30,20612.97
2025,768,2025-01-30,7762.72
2025,783,2025-01-30,29033.83
2025,785,2025-01-30,3914.11
2025,1468,2025-02-27,108943.92
2025,1511,2025-02-27,16150.11
2025,1421,2025-02-27,1747.01
2025,2093,2025-03-28,6767.71
2025,1991,2025-03-28,1733.39
2025,2047,2025-03-28,130686.07
2025,2473,2025-04-29,1270.02
2025,2592,2025-04-29,3527.73
2025,2553,2025-04-29,142982.9
2025,3071,2025-05-29,154016.25
2025,3115,2025-05-29,3943.25
2025,3012,2025-05-29,14340.42
2025,3596,2025-06-26,139516.88
2025,3573,2025-06-26,6717.35
2025,3624,2025-06-26,8878.47
2025,3532,2025-06-26,242.44
2025,3531,2025-06-26,8927.49
2025,3831,2025-07-10,70341.11
2025,4148,2025-07-30,149449.77
2025,4110,2025-07-30,2484.82
2025,4174,2025-07-30,9992.38
2025,4723,2025-08-28,5201.01
2025,4702,2025-08-28,150815.68
2025,4648,2025-08-28,6515.1
2025,5196,2025-09-29,143319.68
2025,5231,2025-09-29,19545.33
2025,5172,2025-09-29,2276.5
2025,5779,2025-10-30,3933.2
2025,5975,2025-10-30,907.45
2025,5944,2025-10-30,150743.02
2025,6354,2025-11-27,14272.6
2025,6439,2025-11-27,4198.89
2025,6410,2025-11-27,169376.26
2025,6783,2025-12-18,154831.46
2025,6616,2025-12-10,89314.83
2025,6818,2025-12-18,20277.02
2025,6758,2025-12-18,7962.49
