anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,7861,2023-12-20,14400
2023,7877,2023-12-20,17572
2023,7874,2023-12-20,19990
2023,7855,2023-12-20,19900
2023,7854,2023-12-20,19500
2023,7853,2023-12-20,30000
2023,7858,2023-12-20,20000
2023,7812,2023-12-20,11491
2023,7878,2023-12-20,19900
2023,7860,2023-12-20,20000
2023,7857,2023-12-20,50000
2023,7872,2023-12-20,14400
2023,7821,2023-12-20,19900
2023,7900,2023-12-21,20000
2023,7875,2023-12-20,19900
2023,7859,2023-12-20,20000
2023,7856,2023-12-20,11491
2023,7876,2023-12-20,19900
2023,7871,2023-12-20,20000
