anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,689,2024-01-30,353
2024,639,2024-01-30,31468.66
2024,631,2024-01-30,78961.02
2024,457,2024-01-30,2161.76
2024,1047,2024-02-28,105168.79
2024,1022,2024-02-28,2105.2
2024,1104,2024-02-28,176.5
2024,1087,2024-02-28,4908.89
2024,1478,2024-03-27,2910.76
2024,1534,2024-03-27,7891.98
2024,1498,2024-03-27,111988.06
2024,1552,2024-03-27,176.5
2024,2044,2024-04-29,110903.35
2024,1969,2024-04-29,50.41
2024,2006,2024-04-29,8732.28
2024,1987,2024-04-29,176.5
2024,1970,2024-04-29,16960.89
2024,2455,2024-05-29,2285.11
2024,2533,2024-05-29,119446.36
2024,2484,2024-05-29,6855.34
2024,2467,2024-05-29,176.5
2024,3009,2024-06-27,176.5
2024,2989,2024-06-27,125934.3
2024,2943,2024-06-27,10940.3
2024,3472,2024-07-31,17539.77
2024,3512,2024-07-31,58948.2
2024,3078,2024-07-03,62396.57
2024,4001,2024-08-29,2351.3
2024,3971,2024-08-29,102753.38
2024,3634,2024-08-08,580.62
2024,3905,2024-08-29,1257.28
2024,3627,2024-08-08,3804.61
2024,4448,2024-09-27,167125.67
2024,4431,2024-09-27,1863.01
2024,4409,2024-09-27,283.74
2024,4416,2024-09-27,6845.62
2024,4887,2024-10-30,1378.29
2024,4941,2024-10-30,135530.53
2024,5301,2024-11-28,12424.88
2024,5317,2024-11-28,131040.34
2024,5705,2024-12-19,99864.39
2024,5457,2024-12-05,71928.37
2024,5662,2024-12-19,9101.46
2024,5687,2024-12-19,18160.74
