anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,888,2025-01-30,461.83
2025,1079,2025-01-30,87197.55
2025,960,2025-01-30,28564.19
2025,1674,2025-02-27,1167.47
2025,1791,2025-02-27,1385.49
2025,1810,2025-02-27,85482.02
2025,2446,2025-03-28,3502.4
2025,2431,2025-03-28,86963.6
2025,2060,2025-03-11,2296.07
2025,3130,2025-04-29,116157.55
2025,3012,2025-04-29,653.04
2025,3668,2025-05-29,1946.46
2025,3818,2025-05-29,7625.6
2025,3805,2025-05-29,97773.27
2025,4412,2025-06-26,6040.2
2025,4435,2025-06-26,6097.33
2025,4366,2025-06-26,33.96
2025,4591,2025-06-26,274.8
2025,4571,2025-06-26,105339.63
2025,5155,2025-07-30,14629.96
2025,4699,2025-07-07,856.93
2025,5292,2025-07-30,6032.59
2025,4758,2025-07-10,54793.78
2025,5219,2025-07-30,96979.44
2025,5896,2025-08-28,117802.25
2025,5913,2025-08-28,7595.85
2025,5780,2025-08-28,2861.45
2025,6450,2025-09-29,1657.42
2025,6577,2025-09-29,103490.26
2025,5991,2025-09-02,225.75
2025,6546,2025-09-29,4419.49
2025,7131,2025-10-30,125840.18
2025,7171,2025-10-30,9137.11
2025,7741,2025-11-27,108238.56
2025,8114,2025-12-18,108589.18
2025,7948,2025-12-10,54875.69
