anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,381,2024-01-03,50000
2024,209,2024-01-02,790.67
2024,919,2024-01-30,446297.58
2024,208,2024-01-02,15999.95
2024,334,2024-01-03,500000
2024,154,2024-01-02,87847.79
2024,1104,2024-01-31,443702.42
2024,1284,2024-02-13,15774.5
2024,1285,2024-02-13,34226
2024,1266,2024-02-12,35000
2024,1237,2024-02-09,201487.44
2024,2970,2024-04-26,9123.41
2024,3374,2024-05-10,99.64
2024,4141,2024-06-17,99.64
2024,4152,2024-06-18,99.64
2024,4115,2024-06-17,99.64
2024,4317,2024-06-25,195217.32
2024,4466,2024-06-27,90000
2024,4350,2024-06-26,99.64
2024,4318,2024-06-25,2231.64
2024,4690,2024-07-03,99.64
2024,4768,2024-07-08,48890
2024,4729,2024-07-04,800000
2024,4616,2024-07-02,99.64
2024,5172,2024-07-31,99.64
2024,4738,2024-07-05,99.64
2024,5076,2024-07-26,99.64
2024,5569,2024-08-12,20944.6
2024,5317,2024-08-01,70000
2024,6637,2024-09-27,110000
2024,7237,2024-10-30,4500.02
2024,7022,2024-10-17,29311.6
2024,7678,2024-11-13,40000
2024,8034,2024-11-28,88000
2024,7961,2024-11-27,99.64
2024,7925,2024-11-26,2571.44
