anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1084,2024-01-30,31707.2
2024,1070,2024-01-30,2806.1
2024,805,2024-01-25,70000
2024,1674,2024-02-28,495.19
2024,1682,2024-02-28,34018.11
2024,2328,2024-03-27,34513.3
2024,2224,2024-03-27,1741.78
2024,3101,2024-04-29,34161.08
2024,3160,2024-04-29,1146.15
2024,3001,2024-04-29,1778.95
2024,3733,2024-05-29,1183.3
2024,3724,2024-05-29,9022.82
2024,4400,2024-06-27,10524.76
2024,4533,2024-06-27,8670.07
2024,5201,2024-07-31,8670.07
2024,4679,2024-07-03,2380.85
2024,5259,2024-07-31,20.24
2024,5463,2024-08-08,286.99
2024,6053,2024-08-29,9640.12
2024,6737,2024-09-27,9619.48
2024,7385,2024-10-30,10419.14
2024,8069,2024-11-28,12855.38
2024,7659,2024-11-13,1028.53
2024,8814,2024-12-30,9768.27
2024,8276,2024-12-05,4529.27
