anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,420,2023-01-09,579387.32
2023,443,2023-01-10,471435.8
2023,1167,2023-02-08,480145.77
2023,1151,2023-02-08,594548.84
2023,1832,2023-03-16,617437.82
2023,1906,2023-03-20,486997.13
2023,2353,2023-04-11,632344.91
2023,2385,2023-04-12,501819.77
2023,3091,2023-05-15,638071.41
2023,3115,2023-05-16,504987.95
2023,3753,2023-06-12,515662.83
2023,3711,2023-06-09,656628.01
2023,4687,2023-07-18,662405.23
2023,4632,2023-07-13,518859.25
2023,4594,2023-07-11,662405.23
2023,5128,2023-08-08,666733.21
2023,5197,2023-08-10,521180.6
2023,5830,2023-09-13,523620.87
2023,5751,2023-09-11,671161.76
2023,6439,2023-10-10,679961.58
2023,6481,2023-10-13,528511.46
2023,7084,2023-11-13,687318.73
2023,7275,2023-11-23,532656.19
2023,7639,2023-12-07,694914.57
2023,7730,2023-12-12,536934.77
