anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1103,2024-01-31,262.37
2024,256,2024-01-02,69999.32
2024,141,2024-01-02,25000
2024,255,2024-01-02,163331.73
2024,1000,2024-01-30,2100.38
2024,765,2024-01-23,10102.36
2024,374,2024-01-03,80000
2024,253,2024-01-02,22230
2024,143,2024-01-02,10000
2024,325,2024-01-03,80000
2024,774,2024-01-24,4829.8
2024,646,2024-01-10,17500
2024,775,2024-01-24,1544.8
2024,776,2024-01-24,675
2024,245,2024-01-02,342800
2024,778,2024-01-24,1638
2024,254,2024-01-02,155554.02
2024,779,2024-01-24,2969.4
2024,246,2024-01-02,20000
2024,250,2024-01-02,10350
2024,248,2024-01-02,1800
2024,252,2024-01-02,15600
2024,777,2024-01-24,745.22
2024,251,2024-01-02,9720
2024,786,2024-01-24,158.45
2024,247,2024-01-02,13593.6
2024,781,2024-01-24,154.03
2024,784,2024-01-24,1222.77
2024,785,2024-01-24,104.05
2024,953,2024-01-30,50000
2024,783,2024-01-24,506.35
2024,764,2024-01-23,10504.37
2024,386,2024-01-03,4414.58
2024,249,2024-01-02,5000
2024,780,2024-01-24,11560
2024,782,2024-01-24,3964.5
2024,142,2024-01-02,10000
2024,1382,2024-02-19,5000
2024,1486,2024-02-26,3300
2024,1413,2024-02-20,850
2024,1414,2024-02-20,82523.3
2024,1735,2024-02-29,31189.92
2024,1411,2024-02-20,402.6
2024,1295,2024-02-13,6630
2024,1409,2024-02-20,857.1
2024,1734,2024-02-29,38481.64
2024,1325,2024-02-15,5175
2024,1878,2024-03-06,144000
2024,2114,2024-03-20,107597
2024,1983,2024-03-12,2590
2024,2427,2024-03-28,3150
2024,1981,2024-03-12,2900
2024,2126,2024-03-21,350
2024,2074,2024-03-18,9750
2024,2125,2024-03-21,567
2024,2260,2024-03-27,9000
2024,2181,2024-03-26,20000
2024,1879,2024-03-06,14400
2024,1800,2024-03-01,25000
2024,2212,2024-03-26,26290
2024,2154,2024-03-22,12255.3
2024,1982,2024-03-12,542
2024,2252,2024-03-27,2485.5
2024,1874,2024-03-06,62400
2024,2117,2024-03-20,26054.26
2024,2050,2024-03-15,10353.78
2024,2241,2024-03-27,10330.83
2024,1801,2024-03-01,8000
2024,2116,2024-03-20,2600
2024,1802,2024-03-01,5000
2024,2644,2024-04-12,652
2024,2655,2024-04-12,690
2024,2658,2024-04-12,7241
