anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,3,2025-01-02,10440
2025,4,2025-01-02,27600
2025,8,2025-03-24,35749.8
2025,7,2025-03-24,104833.04
2025,10,2025-04-29,87514.28
2025,12,2025-05-13,137700
2025,13,2025-06-09,1516614.79
2025,18,2025-06-27,148225.88
2025,14,2025-06-09,773611.17
2025,15,2025-06-25,418523.7
2025,29,2025-11-14,45000
2025,24,2025-11-14,45000
2025,25,2025-11-14,45000
2025,32,2025-11-14,45000
2025,40,2025-11-14,45000
2025,39,2025-11-14,45000
2025,27,2025-11-14,45000
2025,36,2025-11-14,45000
2025,43,2025-11-14,18000
2025,37,2025-11-14,45000
2025,42,2025-11-14,45000
2025,35,2025-11-14,45000
2025,22,2025-11-14,87000
2025,38,2025-11-14,30919
2025,41,2025-11-14,45000
2025,30,2025-11-14,43572.1
2025,28,2025-11-14,45000
2025,34,2025-11-14,45000
