anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,947,2023-01-30,66926.9
2023,1179,2023-02-10,130.68
2023,1185,2023-02-10,257.76
2023,1178,2023-02-10,644.4
2023,1520,2023-02-27,65550.83
2023,2191,2023-03-30,4295.93
2023,2132,2023-03-30,1288.78
2023,2150,2023-03-30,61318.06
2023,2686,2023-04-27,60703.1
2023,3464,2023-05-31,66073.85
2023,4242,2023-06-29,62977.28
2023,4457,2023-07-06,23327.49
2023,4885,2023-07-27,63059.21
2023,5537,2023-08-30,61281.54
2023,6183,2023-09-28,62335.64
2023,6744,2023-10-27,60654.76
2023,7533,2023-11-29,4167.62
2023,7431,2023-11-29,61267.55
2023,7501,2023-11-29,2689.89
2023,7540,2023-11-29,18.34
2023,7909,2023-12-21,4885.57
2023,8026,2023-12-22,1882.96
2023,7996,2023-12-22,60214.34
2023,7697,2023-12-07,36558.05
