anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,234,2023-01-02,63000
2023,319,2023-01-03,3832.82
2023,686,2023-01-23,50000
2023,59,2023-01-02,215000
2023,680,2023-01-23,10000
2023,781,2023-01-25,1443260
2023,217,2023-01-02,87203.74
2023,275,2023-01-03,99709.67
2023,216,2023-01-02,82257.18
2023,289,2023-01-03,49260
2023,207,2023-01-02,14085.5
2023,398,2023-01-05,36151.13
2023,625,2023-01-17,520000
2023,685,2023-01-23,200
2023,41,2023-01-02,59000
2023,300,2023-01-03,23675
2023,28,2023-01-02,349.11
2023,342,2023-01-04,59546.5
2023,45,2023-01-02,12000
2023,397,2023-01-05,397000
2023,271,2023-01-02,194362.17
2023,139,2023-01-02,26900.3
2023,75,2023-01-02,56000
2023,126,2023-01-02,3080
2023,129,2023-01-02,17918.4
2023,344,2023-01-04,63000
2023,203,2023-01-02,28757.9
2023,174,2023-01-02,117789.16
2023,308,2023-01-03,66000
2023,161,2023-01-02,520000
2023,309,2023-01-03,43000
2023,127,2023-01-02,1880.8
2023,46,2023-01-02,76000
2023,318,2023-01-03,67865.82
2023,290,2023-01-03,5280.67
2023,249,2023-01-02,102033.6
2023,206,2023-01-02,17397.48
2023,325,2023-01-03,626749.54
2023,746,2023-01-24,95082.66
2023,184,2023-01-02,2000
2023,138,2023-01-02,102516.6
2023,29,2023-01-02,34562.12
2023,738,2023-01-23,200
2023,286,2023-01-03,276300.29
2023,125,2023-01-02,16118.7
2023,124,2023-01-02,23779.42
2023,1259,2023-02-14,102.58
2023,1152,2023-02-08,10039.2
2023,1101,2023-02-03,96.62
2023,1130,2023-02-06,100000
2023,1198,2023-02-10,43937.68
2023,1568,2023-02-28,20944.5
2023,1239,2023-02-13,59500
2023,1155,2023-02-08,12010.96
2023,1247,2023-02-14,6116
2023,1378,2023-02-20,430000
2023,1139,2023-02-07,100.59
2023,1240,2023-02-13,7844.88
2023,1260,2023-02-14,102.58
2023,1408,2023-02-24,38180.45
2023,1812,2023-03-15,79.79
2023,2025,2023-03-27,5799.16
2023,1884,2023-03-17,96.62
2023,1731,2023-03-10,79.79
2023,1730,2023-03-10,79.79
2023,1955,2023-03-22,79.79
2023,1817,2023-03-15,19695
2023,1826,2023-03-16,79.79
2023,1733,2023-03-10,16331.79
2023,1792,2023-03-14,79.79
2023,1885,2023-03-17,96.62
2023,1665,2023-03-07,58426.8
2023,2235,2023-03-31,23675
2023,2234,2023-03-31,191750
2023,2785,2023-04-27,38500
2023,2399,2023-04-12,79.79
2023,2298,2023-04-05,8149.87
2023,2827,2023-04-28,96.62
2023,2330,2023-04-10,10039.2
2023,2366,2023-04-12,79.79
2023,2367,2023-04-12,79.79
2023,2784,2023-04-27,79650
2023,2529,2023-04-18,54699.22
2023,2351,2023-04-10,94776.12
2023,2358,2023-04-11,1700
2023,2254,2023-04-04,79.79
2023,3026,2023-05-10,122000
