anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,84,2026-01-02,7800
2026,850,2026-01-26,156.19
2026,48,2026-01-02,1000
2026,406,2026-01-02,23148.44
2026,307,2026-01-02,330000
2026,463,2026-01-08,400000
2026,207,2026-01-02,1035547.91
2026,405,2026-01-02,54218.25
2026,1175,2026-02-04,34200
2026,1182,2026-02-04,3370
2026,1226,2026-02-04,6018.68
2026,1179,2026-02-04,3240
2026,1225,2026-02-04,26070.76
2026,1522,2026-02-26,600000
2026,1177,2026-02-04,3050
2026,1521,2026-02-26,6208703.18
2026,1780,2026-03-04,68723
2026,1819,2026-03-05,800000
2026,1956,2026-03-16,2000000
2026,2018,2026-03-19,69720.27
2026,2578,2026-04-02,10600
2026,2574,2026-04-02,8950
2026,2596,2026-04-02,11400
2026,2594,2026-04-02,7700.8
2026,2593,2026-04-02,1502.32
2026,2600,2026-04-02,5520
2026,2581,2026-04-02,1170
2026,2584,2026-04-02,2730
