anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,654,2024-01-30,91403.84
2024,459,2024-01-30,2171.74
2024,678,2024-01-30,108872.37
2024,1057,2024-02-28,5004.84
2024,1068,2024-02-28,198712.53
2024,1516,2024-03-27,195697.19
2024,2025,2024-04-29,206535.58
2024,1945,2024-04-29,4483.03
2024,2515,2024-05-29,12070.91
2024,2504,2024-05-29,195789.73
2024,2932,2024-06-27,5630.72
2024,2980,2024-06-27,210819.51
2024,2968,2024-06-27,1378.21
2024,3494,2024-07-31,204094.49
2024,3419,2024-07-30,1467.17
2024,3087,2024-07-03,99885.12
2024,3507,2024-07-31,4820.17
2024,3652,2024-08-08,6736.05
2024,3960,2024-08-29,2638.33
2024,3949,2024-08-29,214084.87
2024,3920,2024-08-29,4196.45
2024,3903,2024-08-29,3633.82
2024,3919,2024-08-29,705.19
2024,3656,2024-08-08,208.12
2024,4417,2024-09-27,11738.62
2024,4465,2024-09-27,9801.42
2024,4414,2024-09-27,66540.11
2024,4459,2024-09-27,216970.04
2024,4396,2024-09-27,124.95
2024,4884,2024-10-30,4483.23
2024,4587,2024-10-08,626.4
2024,4929,2024-10-30,2203.21
2024,4890,2024-10-30,563.73
2024,4922,2024-10-30,213987.12
2024,4876,2024-10-30,124.95
2024,5115,2024-11-13,125.54
2024,5374,2024-11-28,4877.05
2024,5348,2024-11-28,2172.93
2024,5375,2024-11-28,1548.28
2024,5294,2024-11-28,19758.32
2024,5370,2024-11-28,218008.54
2024,5445,2024-12-05,124578.88
2024,5712,2024-12-19,726.98
2024,5683,2024-12-19,27251.41
2024,5656,2024-12-19,38128.41
2024,5735,2024-12-19,196660.18
