anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,978,2023-01-30,79180.08
2023,1493,2023-02-27,85232.12
2023,2118,2023-03-30,82630.76
2023,2713,2023-04-27,86057.07
2023,3486,2023-05-31,97086.03
2023,4214,2023-06-29,6567.82
2023,4221,2023-06-29,1304.18
2023,4211,2023-06-29,93350.12
2023,4237,2023-06-29,421.26
2023,4856,2023-07-27,89108.51
2023,4437,2023-07-06,40573.13
2023,5562,2023-08-30,2941.78
2023,5524,2023-08-30,1283.84
2023,5554,2023-08-30,86981.02
2023,6199,2023-09-28,88783.07
2023,6773,2023-10-27,85740.19
2023,7534,2023-11-29,14922.84
2023,7538,2023-11-29,2934.48
2023,7452,2023-11-29,88961.79
2023,7924,2023-12-21,6842.42
2023,8045,2023-12-22,586.9
2023,8017,2023-12-22,87962.52
2023,7672,2023-12-07,45572.82
