anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,999,2025-01-30,15729.71
2025,994,2025-01-30,1741.4
2025,1729,2025-02-27,11437.77
2025,2388,2025-03-28,11525.07
2025,3049,2025-04-29,11525.07
2025,3740,2025-05-29,12237.64
2025,4281,2025-06-26,658.18
2025,4310,2025-06-26,712.56
2025,4485,2025-06-26,12237.64
2025,4269,2025-06-26,912.97
2025,4288,2025-06-26,663.66
2025,4267,2025-06-26,182.47
2025,4748,2025-07-10,6440.83
2025,5197,2025-07-30,12237.64
2025,5816,2025-08-28,12237.64
2025,6502,2025-09-29,12237.64
2025,7071,2025-10-30,36712.92
2025,7643,2025-11-27,12237.64
2025,8250,2025-12-18,4147.53
2025,8051,2025-12-18,8365.31
2025,7909,2025-12-10,6135.57
2025,8104,2025-12-18,12237.64
2025,8246,2025-12-18,3283.93
