anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,735,2023-01-23,79.79
2023,767,2023-01-24,79.79
2023,140,2023-01-02,791.69
2023,208,2023-01-02,35082.34
2023,734,2023-01-23,170.97
2023,764,2023-01-24,79.79
2023,49,2023-01-02,1600
2023,282,2023-01-03,8000
2023,532,2023-01-13,199
2023,3533,2023-05-31,1900
2023,3032,2023-05-10,10091.81
2023,3946,2023-06-20,102.58
2023,4011,2023-06-21,36601.5
2023,3947,2023-06-20,102.58
2023,3870,2023-06-15,79.79
2023,5250,2023-08-14,130
2023,5460,2023-08-28,79.79
2023,5459,2023-08-28,170.97
2023,5959,2023-09-20,400
2023,5745,2023-09-08,79.79
2023,5809,2023-09-11,79.79
2023,6059,2023-09-25,79.79
2023,6058,2023-09-25,79.79
2023,7236,2023-11-22,35665
2023,7063,2023-11-10,79.79
2023,7078,2023-11-13,227.96
2023,7062,2023-11-10,79.79
2023,7793,2023-12-18,10000
