anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,1110,2025-01-30,2806.53
2025,844,2025-01-28,5000
2025,792,2025-01-22,1174.55
2025,577,2025-01-14,412.5
2025,790,2025-01-22,1224.73
2025,785,2025-01-22,525.41
2025,570,2025-01-14,1500
2025,574,2025-01-14,96.2
2025,1111,2025-01-30,5008.95
2025,1115,2025-01-30,4692.05
2025,795,2025-01-22,321.3
2025,814,2025-01-24,202.1
2025,569,2025-01-14,330.86
2025,567,2025-01-14,579.18
2025,563,2025-01-14,4262.82
2025,796,2025-01-22,412.68
2025,1109,2025-01-30,305.1
2025,568,2025-01-14,330.86
2025,794,2025-01-22,160
2025,564,2025-01-14,237.19
2025,677,2025-01-16,672.47
2025,1113,2025-01-30,5716.49
2025,884,2025-01-29,296.97
2025,788,2025-01-22,372.24
2025,573,2025-01-14,523.74
2025,566,2025-01-14,601.91
2025,793,2025-01-22,1174.55
2025,1133,2025-01-31,317.94
2025,259,2025-01-02,209815
2025,1114,2025-01-30,1134
2025,575,2025-01-14,134.04
2025,789,2025-01-22,181.96
2025,578,2025-01-14,641.87
2025,791,2025-01-22,119.82
2025,571,2025-01-14,318.6
2025,1120,2025-01-31,10000
2025,565,2025-01-14,92.15
2025,1116,2025-01-30,374.78
2025,229,2025-01-02,600000
2025,1132,2025-01-31,524.65
2025,576,2025-01-14,22.5
2025,845,2025-01-28,500
2025,664,2025-01-16,602.5
2025,676,2025-01-16,108
2025,1112,2025-01-30,184.45
2025,678,2025-01-16,382.69
2025,490,2025-01-08,77.17
2025,663,2025-01-16,237.21
2025,1284,2025-02-11,235
2025,1806,2025-02-27,1743.28
2025,1191,2025-02-05,360.04
2025,1505,2025-02-20,390.75
2025,1660,2025-02-27,2949.47
2025,1241,2025-02-07,330.86
2025,1471,2025-02-18,590.08
2025,1193,2025-02-05,70.12
2025,1472,2025-02-18,154.79
2025,1501,2025-02-20,1001.18
2025,1293,2025-02-11,103.03
2025,1242,2025-02-07,3819.78
2025,1294,2025-02-11,103.03
2025,1474,2025-02-18,389.92
2025,1498,2025-02-20,1000
2025,1470,2025-02-18,1512.71
2025,1245,2025-02-07,3041.33
2025,1499,2025-02-20,2364.04
2025,1473,2025-02-18,26609.18
2025,1500,2025-02-20,377.03
2025,1243,2025-02-07,1638.75
2025,1244,2025-02-07,1408
2025,1504,2025-02-20,1709.25
2025,1497,2025-02-20,3600
2025,1503,2025-02-20,2383.46
2025,1288,2025-02-11,380.49
2025,1169,2025-02-04,96
2025,1192,2025-02-05,496.29
2025,1226,2025-02-07,11863.61
2025,1295,2025-02-11,103.03
2025,1502,2025-02-20,1711.49
2025,1216,2025-02-07,800
2025,2134,2025-03-13,650
2025,2423,2025-03-28,911.78
