anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,609,2026-01-14,10878
2026,601,2026-01-14,3323.75
2026,598,2026-01-14,8734.77
2026,596,2026-01-14,28500.98
2026,595,2026-01-14,7683.83
2026,602,2026-01-14,19745.74
2026,811,2026-01-21,240
2026,876,2026-01-27,2260
2026,611,2026-01-14,12082.28
2026,37,2026-01-02,1000
2026,610,2026-01-14,100
2026,604,2026-01-14,200000
2026,607,2026-01-14,150000
2026,852,2026-01-26,1321.24
2026,603,2026-01-14,25500
2026,597,2026-01-14,10112.95
2026,40,2026-01-02,1000
2026,608,2026-01-14,48845.85
2026,612,2026-01-14,6912.33
2026,851,2026-01-26,2251.32
2026,605,2026-01-14,108718.12
2026,599,2026-01-14,1127.5
2026,613,2026-01-14,4068.63
2026,600,2026-01-14,3323.75
2026,1451,2026-02-23,10000
2026,1606,2026-02-26,4960
2026,1311,2026-02-10,3800
2026,1426,2026-02-20,360
2026,1516,2026-02-25,3183.6
2026,1446,2026-02-23,490
2026,1517,2026-02-25,3000
2026,1310,2026-02-10,7910
2026,1322,2026-02-11,7200
2026,1289,2026-02-09,186239
2026,1512,2026-02-25,4908
2026,1614,2026-02-26,7520
2026,2079,2026-03-23,8000
2026,2005,2026-03-18,6421.19
2026,2069,2026-03-20,3055.59
2026,2087,2026-03-23,2160
2026,1915,2026-03-12,7969
2026,2070,2026-03-20,2063.31
2026,2104,2026-03-24,19615.22
2026,2017,2026-03-19,12910.8
2026,1982,2026-03-17,24200
2026,2103,2026-03-24,13005.9
2026,1765,2026-03-03,1171
2026,1938,2026-03-12,10860
2026,2063,2026-03-20,13165.39
2026,2149,2026-03-26,27031.4
2026,2004,2026-03-18,5597.03
2026,2062,2026-03-20,3200.29
2026,1743,2026-03-02,5458
2026,2148,2026-03-26,1150.21
2026,2019,2026-03-19,290.5
2026,2101,2026-03-24,6390.64
2026,2065,2026-03-20,20288.29
2026,2061,2026-03-20,13524.53
2026,2064,2026-03-20,12018.53
2026,2068,2026-03-20,970.08
2026,2102,2026-03-24,7069.4
2026,2026,2026-03-19,480
2026,2117,2026-03-25,53269.89
2026,2067,2026-03-20,16969.04
2026,2066,2026-03-20,14735.05
2026,2105,2026-03-24,6383.11
2026,1937,2026-03-12,4110
2026,2652,2026-04-07,13612.2
2026,2556,2026-04-01,4000
2026,2523,2026-04-01,12010
2026,2854,2026-04-14,713
2026,2793,2026-04-10,2470
2026,2893,2026-04-16,5220
2026,2801,2026-04-10,2020
2026,2792,2026-04-10,18802.07
2026,2654,2026-04-07,2220.65
2026,2655,2026-04-07,5048.89
2026,2800,2026-04-10,5000
2026,2651,2026-04-07,11031.91
2026,2559,2026-04-01,6698.53
2026,2791,2026-04-10,1925
2026,2653,2026-04-07,9433.6
2026,2650,2026-04-07,11981.89
2026,2657,2026-04-07,9200
2026,2558,2026-04-01,10508.27
