anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,100,2025-01-02,9881.4
2025,708,2025-01-21,6428
2025,585,2025-01-14,960000
2025,1145,2025-01-31,85000
2025,139,2025-01-02,55000
2025,667,2025-01-16,391698.49
2025,584,2025-01-14,7060000
2025,250,2025-01-02,266709.04
2025,866,2025-01-28,300
2025,1134,2025-01-31,17000
2025,863,2025-01-28,79.79
2025,865,2025-01-28,170.97
2025,380,2025-01-02,42350
2025,215,2025-01-02,305600
2025,862,2025-01-28,79.79
2025,861,2025-01-28,79.79
2025,425,2025-01-02,42575
2025,310,2025-01-02,786875
2025,208,2025-01-02,96928.65
2025,284,2025-01-02,206166.4
2025,381,2025-01-02,2000
2025,864,2025-01-28,79.79
2025,199,2025-01-02,50000
2025,1107,2025-01-30,268194.35
2025,83,2025-01-02,670000
2025,1481,2025-02-19,109340.12
2025,1239,2025-02-07,312.37
2025,1212,2025-02-06,39.9
2025,1549,2025-02-21,3725
2025,1211,2025-02-06,39.9
2025,1906,2025-02-28,1300
2025,1215,2025-02-06,39.9
2025,2128,2025-03-13,3500
2025,2041,2025-03-10,5657
2025,2054,2025-03-11,325000
2025,1989,2025-03-06,27098.85
2025,1997,2025-03-06,137.5
2025,2111,2025-03-13,2268.5
2025,1996,2025-03-06,5716.6
2025,2230,2025-03-20,32068.4
2025,2860,2025-04-17,5531.45
2025,2756,2025-04-11,11970
2025,2992,2025-04-28,473426.39
2025,2897,2025-04-23,1968.75
2025,2763,2025-04-14,307.75
2025,2764,2025-04-14,307.75
2025,3005,2025-04-29,4100
2025,2765,2025-04-14,307.75
2025,2861,2025-04-17,6911.45
2025,3196,2025-04-30,79.79
2025,2766,2025-04-14,307.75
2025,2895,2025-04-23,446.25
2025,2768,2025-04-14,6500
2025,2899,2025-04-23,1908
2025,3352,2025-05-09,39.9
2025,3600,2025-05-26,79.79
2025,3477,2025-05-19,39.9
2025,3524,2025-05-21,79.79
2025,3698,2025-05-29,39.9
2025,3354,2025-05-09,39.9
2025,3541,2025-05-21,79.79
2025,3599,2025-05-26,170.97
2025,3476,2025-05-19,39.9
2025,3523,2025-05-21,600
2025,3392,2025-05-13,39.9
2025,3530,2025-05-21,79.79
2025,3394,2025-05-13,39.9
2025,3478,2025-05-19,39.9
2025,3699,2025-05-29,39.9
2025,3349,2025-05-09,39.9
2025,3525,2025-05-21,79.79
2025,3346,2025-05-09,39.9
2025,3355,2025-05-09,39.9
2025,3536,2025-05-21,79.79
2025,3535,2025-05-21,79.79
2025,3555,2025-05-22,39.9
2025,3341,2025-05-09,39.9
2025,3544,2025-05-21,79.79
2025,3409,2025-05-14,2582.6
