anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,396,2026-01-02,727743.27
2026,515,2026-01-13,17441.75
2026,514,2026-01-13,4408.5
2026,393,2026-01-02,661932.08
2026,395,2026-01-02,58535.64
2026,509,2026-01-13,62343.2
2026,511,2026-01-13,20897.5
2026,508,2026-01-13,9459
2026,893,2026-01-28,10400
2026,394,2026-01-02,2228774.38
2026,510,2026-01-13,109330.43
2026,286,2026-01-02,1861537.88
2026,513,2026-01-13,58216.46
2026,512,2026-01-13,75869.86
2026,1431,2026-02-20,8297.1
2026,1409,2026-02-20,1615000
2026,1420,2026-02-20,37980
2026,1429,2026-02-20,259319.89
2026,1433,2026-02-20,26877.5
2026,1434,2026-02-20,203652.99
2026,1430,2026-02-20,210707.48
2026,1432,2026-02-20,79495
2026,1427,2026-02-20,1170
2026,1435,2026-02-20,192315.05
2026,1428,2026-02-20,103595.88
2026,1931,2026-03-12,16119.6
2026,1928,2026-03-12,88793.14
2026,2152,2026-03-26,36203.5
2026,1934,2026-03-12,151877.54
2026,1929,2026-03-12,281421.43
2026,1932,2026-03-12,53722.5
2026,1933,2026-03-12,22392.5
2026,2008,2026-03-18,163071.1
2026,1935,2026-03-12,39864
2026,2151,2026-03-26,22875.52
2026,1930,2026-03-12,239907.72
2026,2781,2026-04-10,6772.5
2026,2736,2026-04-09,288.48
2026,2725,2026-04-09,110544.66
2026,2769,2026-04-09,604514.48
2026,2721,2026-04-09,135405.25
2026,2795,2026-04-10,35880
2026,2737,2026-04-09,128110.5
2026,2719,2026-04-09,173358.05
2026,2720,2026-04-09,38460
2026,2724,2026-04-09,96915
2026,2722,2026-04-09,147916.93
2026,2549,2026-04-01,6013.12
2026,2723,2026-04-09,228101.31
2026,2715,2026-04-09,10622.4
