anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,380,2023-01-26,756000
2023,438,2023-01-27,50000
2023,372,2023-01-26,294000
2023,604,2023-01-31,100000
2023,413,2023-01-26,7200
2023,421,2023-01-26,2400000
2023,423,2023-01-27,100000
2023,405,2023-01-26,96000
2023,653,2023-01-31,120000
2023,415,2023-01-26,114000
2023,433,2023-01-27,500000
2023,444,2023-01-27,20000
2023,449,2023-01-27,40000
2023,479,2023-01-27,10000
2023,645,2023-01-31,100000
2023,378,2023-01-26,127927.8
2023,633,2023-01-31,10000
2023,453,2023-01-27,30000
2023,365,2023-01-26,28800
2023,409,2023-01-26,20400
2023,467,2023-01-27,50000
2023,395,2023-01-26,256956.48
2023,435,2023-01-27,500000
2023,388,2023-01-26,114000
2023,606,2023-01-31,200000
2023,639,2023-01-31,50000
2023,419,2023-01-26,42000
2023,668,2023-01-31,50000
2023,665,2023-01-31,20000
2023,416,2023-01-26,10000
2023,340,2023-01-25,600000
2023,481,2023-01-27,100000
2023,390,2023-01-26,74400
2023,614,2023-01-31,500000
2023,629,2023-01-31,50000
2023,430,2023-01-27,200000
2023,473,2023-01-27,20000
2023,411,2023-01-26,24000
2023,386,2023-01-26,3600
2023,436,2023-01-27,50000
2023,437,2023-01-27,50000
2023,470,2023-01-27,80000
2023,476,2023-01-27,400000
2023,443,2023-01-27,20000
2023,623,2023-01-31,100000
2023,632,2023-01-31,200000
2023,599,2023-01-31,30000
2023,651,2023-01-31,50000
2023,626,2023-01-31,150000
2023,635,2023-01-31,500000
2023,602,2023-01-31,100000
2023,394,2023-01-26,117600
2023,603,2023-01-31,100000
2023,666,2023-01-31,50000
2023,392,2023-01-26,82800
2023,459,2023-01-27,50000
2023,383,2023-01-26,5000
2023,428,2023-01-27,456000
2023,424,2023-01-27,100000
2023,644,2023-01-31,50000
2023,618,2023-01-31,100000
2023,396,2023-01-26,64248.12
2023,381,2023-01-26,396000
2023,482,2023-01-27,500000
2023,478,2023-01-27,10000
2023,648,2023-01-31,100000
2023,351,2023-01-25,1100000
2023,656,2023-01-31,50000
2023,379,2023-01-26,1020000
2023,652,2023-01-31,100000
2023,608,2023-01-31,60000
2023,480,2023-01-27,100000
2023,450,2023-01-27,20000
2023,369,2023-01-26,7200
2023,420,2023-01-26,5400
2023,621,2023-01-31,100000
2023,637,2023-01-31,50000
2023,642,2023-01-31,50000
2023,370,2023-01-26,115200
2023,350,2023-01-25,4600000
2023,671,2023-01-31,100000
2023,434,2023-01-27,500000
2023,662,2023-01-31,150000
2023,616,2023-01-31,50000
2023,610,2023-01-31,100000
2023,483,2023-01-27,500000
2023,355,2023-01-25,840000
2023,349,2023-01-25,375812.36
2023,641,2023-01-31,50000
2023,346,2023-01-25,8000000
2023,647,2023-01-31,100000
2023,474,2023-01-27,20000
2023,418,2023-01-26,20000
2023,348,2023-01-25,132582.36
2023,34,2023-01-02,980000
2023,485,2023-01-27,200000
2023,404,2023-01-26,6000
2023,640,2023-01-31,50000
2023,400,2023-01-26,75600
2023,371,2023-01-26,10000
2023,617,2023-01-31,50000
2023,385,2023-01-26,54000
2023,657,2023-01-31,50000
2023,655,2023-01-31,50000
2023,650,2023-01-31,100000
2023,384,2023-01-26,123840
2023,613,2023-01-31,500000
2023,664,2023-01-31,800000
2023,598,2023-01-31,200000
2023,376,2023-01-26,44880
2023,343,2023-01-25,1.07798304E7
2023,607,2023-01-31,300000
2023,622,2023-01-31,100000
2023,373,2023-01-26,10200
2023,620,2023-01-31,100000
2023,345,2023-01-25,3000000
2023,471,2023-01-27,80000
2023,342,2023-01-25,19022151
2023,466,2023-01-27,50000
2023,597,2023-01-31,200000
2023,387,2023-01-26,22800
2023,367,2023-01-26,1680
2023,455,2023-01-27,50000
2023,636,2023-01-31,50000
2023,412,2023-01-26,32400
2023,675,2023-01-31,80000
2023,432,2023-01-27,5000
2023,422,2023-01-26,144000
2023,341,2023-01-25,2400000
2023,408,2023-01-26,5000
2023,446,2023-01-27,200000
2023,439,2023-01-27,50000
2023,462,2023-01-27,300000
2023,410,2023-01-26,12000
2023,673,2023-01-31,200000
2023,646,2023-01-31,100000
2023,465,2023-01-27,300000
2023,601,2023-01-31,500000
2023,638,2023-01-31,50000
2023,406,2023-01-26,192000
2023,447,2023-01-27,200000
2023,441,2023-01-27,100000
2023,627,2023-01-31,50000
2023,660,2023-01-31,50000
2023,425,2023-01-27,200000
2023,407,2023-01-26,432000
2023,389,2023-01-26,15000
2023,426,2023-01-27,200000
2023,429,2023-01-27,200000
2023,472,2023-01-27,20000
2023,634,2023-01-31,120000
2023,484,2023-01-27,30000
2023,600,2023-01-31,30000
2023,658,2023-01-31,50000
2023,393,2023-01-26,32400
2023,631,2023-01-31,10000
2023,611,2023-01-31,20000
2023,366,2023-01-26,5400
2023,654,2023-01-31,120000
2023,477,2023-01-27,800000
2023,669,2023-01-31,50000
2023,374,2023-01-26,50400
2023,368,2023-01-26,18000
2023,442,2023-01-27,100000
2023,630,2023-01-31,50000
2023,649,2023-01-31,100000
2023,382,2023-01-26,48000
2023,628,2023-01-31,50000
2023,417,2023-01-26,20000
2023,353,2023-01-25,60000
2023,475,2023-01-27,10000
2023,339,2023-01-25,5.01557916E7
2023,431,2023-01-27,2760
2023,643,2023-01-31,50000
2023,468,2023-01-27,80000
2023,661,2023-01-31,150000
2023,463,2023-01-27,300000
2023,397,2023-01-26,312000
2023,440,2023-01-27,50000
2023,619,2023-01-31,100000
2023,344,2023-01-25,195219.36
2023,347,2023-01-25,500000
2023,456,2023-01-27,30000
2023,625,2023-01-31,40000
2023,667,2023-01-31,30000
2023,398,2023-01-26,10000
2023,469,2023-01-27,80000
2023,391,2023-01-26,22800
2023,375,2023-01-26,8160
2023,663,2023-01-31,1000000
2023,605,2023-01-31,100000
2023,402,2023-01-26,10000
2023,612,2023-01-31,500000
