anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,513,2023-01-13,21471.33
2023,506,2023-01-13,352.28
2023,406,2023-01-05,4377631.63
2023,388,2023-01-05,845538.71
2023,505,2023-01-13,53579.52
2023,504,2023-01-13,8388.79
2023,512,2023-01-13,583197.51
2023,494,2023-01-13,3510476.86
2023,83,2023-01-02,2052814.41
2023,592,2023-01-17,345339.81
2023,774,2023-01-25,4132936.48
2023,370,2023-01-05,720919.81
2023,585,2023-01-16,1244.34
2023,773,2023-01-25,2093335.17
2023,507,2023-01-13,1552668.85
2023,483,2023-01-13,110551.84
2023,584,2023-01-16,93542.34
2023,481,2023-01-13,8581717.79
2023,1035,2023-01-31,13500
2023,477,2023-01-13,697303.9
2023,485,2023-01-13,1400000
2023,586,2023-01-16,783041.68
2023,396,2023-01-05,306713.4
2023,310,2023-01-03,5000000
2023,136,2023-01-02,5000000
2023,257,2023-01-02,1000000
2023,303,2023-01-03,29787.04
2023,775,2023-01-25,5000000
2023,589,2023-01-17,355340.8
2023,590,2023-01-17,12794.23
2023,404,2023-01-05,15237.71
2023,1033,2023-01-31,286500
2023,402,2023-01-05,228285.91
2023,511,2023-01-13,808.36
2023,490,2023-01-13,2692788.39
2023,499,2023-01-13,3709370.21
2023,131,2023-01-02,682000
2023,510,2023-01-13,39856.76
2023,794,2023-01-25,1190177.1
2023,479,2023-01-13,411427.21
2023,508,2023-01-13,108501.27
2023,488,2023-01-13,1000000
2023,403,2023-01-05,40655.41
2023,476,2023-01-13,4891.47
2023,258,2023-01-02,965136.91
2023,482,2023-01-13,1720960.44
2023,395,2023-01-05,286500
2023,591,2023-01-17,250000
2023,1034,2023-01-31,272875.61
2023,393,2023-01-05,4700000
2023,503,2023-01-13,5112030.1
2023,486,2023-01-13,3477021.51
2023,776,2023-01-25,550189.49
2023,489,2023-01-13,965136.91
2023,400,2023-01-05,455304.09
2023,502,2023-01-13,15000000
2023,272,2023-01-02,29787.04
2023,128,2023-01-02,3684787.99
2023,311,2023-01-03,500000
2023,401,2023-01-05,613040.12
2023,500,2023-01-13,624845.05
2023,509,2023-01-13,25993.89
2023,1348,2023-02-17,3510476.86
2023,1349,2023-02-17,34400.21
2023,1142,2023-02-07,143853.45
2023,1098,2023-02-03,28769
2023,1742,2023-03-10,333178.57
2023,2026,2023-03-27,83294.64
2023,1705,2023-03-08,41327.62
2023,1963,2023-03-23,1361818.46
2023,1698,2023-03-08,939978.59
2023,1740,2023-03-10,4556.83
2023,2076,2023-03-29,1190177.1
2023,1938,2023-03-21,80872.71
2023,1591,2023-03-01,624845.05
2023,1741,2023-03-10,1628.33
2023,1590,2023-03-01,203573.23
2023,2515,2023-04-17,5944888.47
2023,2343,2023-04-10,411427.21
2023,2444,2023-04-13,355503.65
2023,2403,2023-04-12,147467.01
2023,2580,2023-04-20,119343.68
2023,2340,2023-04-10,113906.39
2023,2803,2023-04-27,26737.7
2023,2342,2023-04-10,28769
2023,3277,2023-05-23,57366.68
2023,2835,2023-05-02,19196.6
2023,3280,2023-05-23,2392153.84
2023,3534,2023-05-31,2052814.41
2023,3119,2023-05-16,1000000
2023,3083,2023-05-12,2.055018949E7
2023,3223,2023-05-22,135669.8
2023,3038,2023-05-11,5980834.22
2023,3116,2023-05-16,1738376.07
2023,3040,2023-05-11,911651.5
2023,3959,2023-06-20,13017.86
2023,4124,2023-06-27,300000
2023,4291,2023-06-29,3385.81
2023,4472,2023-07-07,3829380
2023,4610,2023-07-11,110551.84
2023,4379,2023-07-05,98729.3
2023,4386,2023-07-05,9935.42
2023,4385,2023-07-05,28200.69
2023,5199,2023-08-10,4328997.54
2023,5445,2023-08-25,2239237.23
2023,5438,2023-08-25,2.055018949E7
2023,5716,2023-09-06,390907.6
2023,5854,2023-09-14,73752.42
2023,5851,2023-09-14,96200.4
2023,5852,2023-09-14,41585
2023,5741,2023-09-08,1400000
2023,5853,2023-09-14,174273
2023,5982,2023-09-21,790249.19
2023,5883,2023-09-14,28539.9
2023,5746,2023-09-08,110551.84
2023,5882,2023-09-14,362936.7
2023,6380,2023-10-06,221496.34
2023,6397,2023-10-09,35369.31
2023,6492,2023-10-13,4000000
2023,6680,2023-10-27,2407048.41
2023,6463,2023-10-11,585611.89
2023,6555,2023-10-18,14400.36
2023,6933,2023-11-03,9010.2
2023,6945,2023-11-07,19590.99
2023,7137,2023-11-17,37677.44
2023,7086,2023-11-14,2573569.56
2023,8076,2023-12-22,8931.72
2023,7702,2023-12-08,825000
2023,7773,2023-12-15,540738.45
2023,7713,2023-12-11,299164.26
2023,8077,2023-12-22,119072.59
2023,7759,2023-12-14,210733.81
2023,7774,2023-12-15,153879.36
