anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,730,2026-01-19,66957.4
2026,274,2026-01-02,6698.33
2026,203,2026-01-02,138000
2026,546,2026-01-14,249916.68
2026,195,2026-01-02,15780.73
2026,412,2026-01-02,591.42
2026,504,2026-01-13,33840
2026,266,2026-01-02,10033.36
2026,544,2026-01-14,1500
2026,545,2026-01-14,15000
2026,247,2026-01-02,115176.5
2026,197,2026-01-02,40857.39
2026,267,2026-01-02,7867.12
2026,278,2026-01-02,83967.15
2026,350,2026-01-02,45676.12
2026,193,2026-01-02,614900
2026,256,2026-01-02,113925
2026,2036,2026-03-20,204712.85
2026,2109,2026-03-24,120
2026,1807,2026-03-04,160.65
2026,1980,2026-03-17,2797.35
2026,1808,2026-03-04,267.22
2026,2108,2026-03-24,120
2026,2644,2026-04-07,258
2026,2615,2026-04-06,213707.96
2026,2645,2026-04-07,120
