anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2023,507,2023-01-30,681.32
2023,503,2023-01-30,5094.39
2023,512,2023-01-30,96456.81
2023,522,2023-01-30,2427451.05
2023,535,2023-01-30,17702.25
2023,957,2023-02-27,15711
2023,789,2023-02-10,26935.46
2023,988,2023-02-27,58189.88
2023,787,2023-02-10,4991.18
2023,974,2023-02-27,2378894
2023,966,2023-02-27,93115.07
2023,953,2023-02-27,16322.9
2023,1090,2023-03-07,7246.8
2023,1051,2023-03-02,4011.25
2023,1362,2023-03-30,94306.19
2023,1369,2023-03-30,1874.54
2023,1089,2023-03-07,11.5
2023,1373,2023-03-30,2392830.83
2023,1353,2023-03-30,5770.85
2023,1383,2023-03-30,35297.61
2023,1351,2023-03-30,7736.65
2023,1729,2023-04-27,15339.81
2023,1759,2023-04-27,61052.7
2023,1575,2023-04-18,11826.54
2023,1738,2023-04-27,103445.46
2023,1574,2023-04-18,1327.67
2023,1725,2023-04-27,14676.7
2023,1743,2023-04-27,1874.54
2023,1747,2023-04-27,2396809.66
2023,2151,2023-05-31,12726.38
2023,2162,2023-05-31,94426.53
2023,2021,2023-05-17,95.13
2023,2020,2023-05-17,702.97
2023,2022,2023-05-17,804.54
2023,2171,2023-05-31,2534456.67
2023,2186,2023-05-31,53594.98
2023,2142,2023-05-31,3301.29
2023,2153,2023-05-31,12070.86
2023,2165,2023-05-31,10533.48
2023,2514,2023-06-29,76817.87
2023,2503,2023-06-29,2934.48
2023,2547,2023-06-29,184205.48
2023,2522,2023-06-29,80469.64
2023,2530,2023-06-29,1956.27
2023,2535,2023-06-29,2418637.34
2023,2527,2023-06-29,11148.58
2023,2510,2023-06-29,36034.55
2023,2913,2023-07-27,19030.27
2023,2667,2023-07-06,21108.26
2023,2673,2023-07-06,878216.91
2023,2718,2023-07-11,1385.07
2023,2920,2023-07-27,8482.51
2023,2924,2023-07-27,145737.55
2023,2933,2023-07-27,62838.28
2023,2717,2023-07-11,1049.92
2023,2720,2023-07-11,69.29
2023,2863,2023-07-20,0.91
2023,2936,2023-07-27,44503.06
2023,2944,2023-07-27,2280571.39
2023,2719,2023-07-11,600
2023,2939,2023-07-27,1598.24
2023,2959,2023-07-27,297698.19
2023,2721,2023-07-11,4312.29
2023,2864,2023-07-20,1500
2023,3353,2023-08-30,2200.81
2023,3359,2023-08-30,19873.06
2023,3372,2023-08-30,42427.89
2023,3345,2023-08-30,2383253.28
2023,3367,2023-08-30,42129.92
2023,3111,2023-08-11,13078.82
2023,3752,2023-09-28,2503512.87
2023,3744,2023-09-28,49351.7
2023,3774,2023-09-28,60000
2023,3419,2023-09-04,133.5
2023,3738,2023-09-28,7058.48
2023,4172,2023-10-27,7726.72
2023,3881,2023-10-06,46596.02
2023,4192,2023-10-27,60000
2023,4149,2023-10-27,2594973.86
2023,4177,2023-10-27,37133.73
2023,4159,2023-10-27,1421.19
2023,4164,2023-10-27,3763.83
2023,4634,2023-11-29,2657096.3
2023,4654,2023-11-29,11183.59
2023,4655,2023-11-29,2508.02
2023,4623,2023-11-29,9884
2023,4645,2023-11-29,78045.98
2023,4608,2023-11-29,42224.23
2023,4592,2023-11-29,8330.45
2023,4624,2023-11-29,55756.59
2023,4558,2023-11-28,1658
2023,4641,2023-11-29,1847.49
2023,4560,2023-11-28,450.14
2023,4993,2023-12-22,1456491.44
2023,4950,2023-12-21,5559.35
2023,4778,2023-12-07,19132.27
2023,5040,2023-12-22,9884
2023,5018,2023-12-22,33741.62
2023,4785,2023-12-07,1258364.05
2023,4710,2023-12-01,2281.51
2023,5041,2023-12-22,1020790.37
2023,4791,2023-12-07,13619.76
2023,5002,2023-12-22,149480.73
2023,4988,2023-12-22,4078
2023,4943,2023-12-21,13747.87
2023,4961,2023-12-21,303578.12
