anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,450,2025-01-02,11114.85
2025,874,2025-01-29,24512.65
2025,443,2025-01-02,487516.46
2025,358,2025-01-02,1922303.73
2025,471,2025-01-02,588384.12
2025,588,2025-01-14,104804.15
2025,434,2025-01-02,321266.44
2025,1106,2025-01-30,6575710.57
2025,408,2025-01-02,608454.81
2025,452,2025-01-02,1948966.57
2025,599,2025-01-14,201697.68
2025,847,2025-01-28,49749.54
2025,399,2025-01-02,553189.65
2025,467,2025-01-02,278795.84
2025,435,2025-01-02,19148.93
2025,465,2025-01-02,1.265808657E7
2025,595,2025-01-14,1723523.48
2025,470,2025-01-02,1000000
2025,454,2025-01-02,2677.57
2025,449,2025-01-02,2065054.62
2025,436,2025-01-02,91345.21
2025,245,2025-01-02,5045.34
2025,459,2025-01-02,5189987.79
2025,412,2025-01-02,1178112.87
2025,593,2025-01-14,98472.1
2025,586,2025-01-14,300000
2025,457,2025-01-02,2609686.07
2025,873,2025-01-29,319511.69
2025,453,2025-01-02,751327.14
2025,598,2025-01-14,2736230.35
2025,460,2025-01-02,79939.08
2025,420,2025-01-02,2750109.54
2025,605,2025-01-14,35251.39
2025,473,2025-01-02,100000
2025,597,2025-01-14,5641033.43
2025,409,2025-01-02,881.41
2025,885,2025-01-30,21333.38
2025,589,2025-01-14,190000
2025,468,2025-01-02,5633279.71
2025,472,2025-01-02,102893.77
2025,444,2025-01-02,7328.82
2025,458,2025-01-02,6370.25
2025,587,2025-01-14,100000
2025,594,2025-01-14,1032797.18
2025,437,2025-01-02,21329.4
2025,413,2025-01-02,39492.29
2025,418,2025-01-02,1.165526558E7
2025,600,2025-01-14,405041.24
2025,359,2025-01-02,76504.94
2025,463,2025-01-02,505964.59
2025,464,2025-01-02,969192.96
2025,396,2025-01-02,1189040
2025,451,2025-01-02,21343.99
2025,441,2025-01-02,971922.25
2025,405,2025-01-02,795897.45
2025,266,2025-01-02,2142911.53
2025,267,2025-01-02,6873169.02
2025,608,2025-01-14,89937.02
2025,1579,2025-02-24,11278.17
2025,1752,2025-02-27,800000
2025,1753,2025-02-27,3335925.94
2025,2140,2025-03-14,217043.1
2025,2053,2025-03-11,2091065.13
2025,2139,2025-03-14,2658086.57
2025,2154,2025-03-17,51286.03
2025,2641,2025-04-08,34384.26
2025,2955,2025-04-28,22681.72
2025,4455,2025-06-26,396054.7
2025,4653,2025-07-02,53267.12
2025,5064,2025-07-24,90000
2025,4654,2025-07-02,263279.32
2025,4998,2025-07-21,178540.61
2025,5087,2025-07-25,370562.78
2025,5136,2025-07-30,1116553.5
2025,5446,2025-08-08,764722.63
2025,5448,2025-08-08,6568.37
2025,5760,2025-08-27,349014.92
2025,5809,2025-08-28,135310.4
2025,5970,2025-08-29,3934268.12
2025,5971,2025-08-29,2164731.88
2025,5505,2025-08-13,9468.41
2025,5811,2025-08-28,371738.6
2025,6435,2025-09-25,4000000
2025,6237,2025-09-15,133491.74
2025,6209,2025-09-11,39187.2
2025,6297,2025-09-17,701438.15
2025,7558,2025-11-26,362394.78
2025,7283,2025-11-05,67701.76
2025,7557,2025-11-26,32644.45
