anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,1025,2024-01-30,2348.35
2024,1097,2024-01-30,33644.21
2024,886,2024-01-30,1428.16
2024,1688,2024-02-28,33011.04
2024,1603,2024-02-28,2712.14
2024,2297,2024-03-27,1000
2024,2293,2024-03-27,45711.19
2024,2332,2024-03-27,25338.2
2024,3105,2024-04-29,34601.64
2024,3049,2024-04-29,606.83
2024,3688,2024-05-29,1101.35
2024,3647,2024-05-29,10224.91
2024,3776,2024-05-29,33135.06
2024,4501,2024-06-27,1415.94
2024,4477,2024-06-27,35697.45
2024,4433,2024-06-27,3108.65
2024,5203,2024-07-31,30337.12
2024,5145,2024-07-30,498.34
2024,4671,2024-07-03,17869.22
2024,5216,2024-07-31,6349.95
2024,5913,2024-08-29,2644.76
2024,5471,2024-08-08,918.52
2024,5513,2024-08-08,226.03
2024,6028,2024-08-29,926.71
2024,6055,2024-08-29,34158.42
2024,6754,2024-09-27,881.6
2024,6748,2024-09-27,33186.8
2024,7407,2024-10-30,30997.52
2024,7286,2024-10-30,2612.17
2024,7249,2024-10-30,1567.27
2024,7297,2024-10-30,8961.3
2024,7989,2024-11-28,840.58
2024,8112,2024-11-28,522.43
2024,8105,2024-11-28,36941.88
2024,8564,2024-12-19,1151.11
2024,8283,2024-12-05,17446.4
2024,8678,2024-12-19,33233.97
2024,8689,2024-12-19,2494.01
2024,8797,2024-12-30,16526.3
2024,8740,2024-12-19,2586.04
