anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2026,310,2026-01-16,102166.9
2026,364,2026-01-19,5000
2026,772,2026-01-29,648084
2026,631,2026-01-28,889.6
2026,694,2026-01-28,12596.15
2026,663,2026-01-28,223591.72
2026,372,2026-01-19,1209.76
2026,680,2026-01-28,56443.64
2026,662,2026-01-28,92891.35
2026,373,2026-01-19,4267.57
2026,660,2026-01-28,59105.29
2026,774,2026-01-29,239158
2026,866,2026-01-30,1284.25
2026,771,2026-01-29,300000
2026,661,2026-01-28,148429.73
2026,665,2026-01-28,143672.55
2026,767,2026-01-29,23412.6
2026,319,2026-01-19,123250
2026,369,2026-01-19,6184.83
2026,581,2026-01-26,16530.35
2026,374,2026-01-19,1287.99
2026,651,2026-01-28,469.99
2026,673,2026-01-28,9521.68
2026,695,2026-01-28,4993.55
2026,667,2026-01-28,493199.11
2026,666,2026-01-28,196434.74
2026,770,2026-01-29,70000
2026,689,2026-01-28,83332.71
2026,375,2026-01-19,8216.49
2026,582,2026-01-26,41174.27
2026,773,2026-01-29,50000
2026,679,2026-01-28,30765.69
2026,664,2026-01-28,33396.61
2026,1069,2026-02-05,252942.12
2026,1523,2026-02-26,4338.2
2026,1361,2026-02-23,1314.56
2026,1347,2026-02-23,207.07
2026,1071,2026-02-05,248056.32
2026,1266,2026-02-19,1450
2026,1070,2026-02-05,150000
2026,911,2026-02-04,8964.73
2026,1262,2026-02-19,117
2026,1416,2026-02-24,92400
2026,1212,2026-02-12,192
2026,1068,2026-02-05,150000
2026,913,2026-02-04,86935.21
2026,1012,2026-02-05,399.98
2026,1282,2026-02-19,14220
2026,1073,2026-02-05,272075.56
2026,1283,2026-02-19,24239.64
2026,1265,2026-02-19,19660
2026,1264,2026-02-19,2355
2026,1036,2026-02-05,58171.12
2026,1263,2026-02-19,1125
2026,1334,2026-02-23,885.6
2026,1037,2026-02-05,190000
2026,1203,2026-02-12,1443.6
2026,912,2026-02-04,6950
2026,994,2026-02-05,300000
2026,1058,2026-02-05,5421
2026,1358,2026-02-23,747.78
2026,1446,2026-02-25,1046.35
2026,993,2026-02-05,307071.3
2026,1195,2026-02-12,14.9
2026,1072,2026-02-05,80000
2026,1965,2026-03-20,900.6
2026,2017,2026-03-23,1272.73
2026,1794,2026-03-13,734.47
2026,2011,2026-03-23,907.87
2026,1815,2026-03-13,17745
2026,1982,2026-03-20,91.2
2026,1649,2026-03-03,2374.1
2026,2327,2026-04-08,42229.92
2026,2260,2026-04-02,760.5
2026,2389,2026-04-13,2275
2026,2231,2026-04-01,1533.22
